t,x_true,y_true,x_est,y_est
0.88,-0.0939824,-0.00127953,-0.0849774,-0.00193932
0.89,-0.0941837,-0.00180297,-0.0850374,-0.00247058
0.9,-0.0943926,-0.00235843,-0.0850695,-0.00303277
0.91,-0.094631,-0.00293097,-0.0851084,-0.00361153
0.92,-0.0949266,-0.00350034,-0.0851901,-0.00417895
0.93,-0.0953108,-0.00405841,-0.08535,-0.0047356
0.94,-0.0958159,-0.00461079,-0.0856291,-0.00528689
0.95,-0.0964519,-0.00515755,-0.0860494,-0.00582745
0.96,-0.0972103,-0.00569577,-0.086617,-0.00634203
0.97,-0.0980611,-0.0062202,-0.0873251,-0.0068349
0.98,-0.0989873,-0.00667438,-0.0881654,-0.00724608
0.99,-0.0999518,-0.0069011,-0.089147,-0.00743817
1,-0.100828,-0.00688551,-0.0901251,-0.00738183
1.01,-0.101675,-0.00674158,-0.0910964,-0.00716272
1.02,-0.102464,-0.00653279,-0.0918063,-0.00681768
1.03,-0.103098,-0.00626833,-0.0918068,-0.00632871
1.04,-0.103528,-0.00595163,-0.0917492,-0.00587368
1.05,-0.103749,-0.00559531,-0.0919597,-0.0054819
1.06,-0.103792,-0.00521595,-0.0919679,-0.00507708
1.07,-0.10371,-0.00481629,-0.0918168,-0.00467186
1.08,-0.103576,-0.00438698,-0.0915733,-0.00426183
1.09,-0.10344,-0.00392222,-0.0912929,-0.00383557
1.1,-0.103319,-0.00343073,-0.0910008,-0.0033976
1.11,-0.103234,-0.00292552,-0.090728,-0.00295125
1.12,-0.103209,-0.00242238,-0.0905086,-0.00250344
1.13,-0.103273,-0.00192643,-0.0903825,-0.00205653
1.14,-0.103463,-0.00142991,-0.0903861,-0.00160115
1.15,-0.103789,-0.000929933,-0.0905441,-0.00113068
1.16,-0.104242,-0.000430909,-0.0908681,-0.000653979
1.17,-0.104792,6.11987e-05,-0.0913386,-0.000190125
1.18,-0.105423,0.000486535,-0.0919512,0.000217281
1.19,-0.106106,0.000689371,-0.092704,0.000422626
1.2,-0.106703,0.00065436,-0.0934458,0.000396531
1.21,-0.107281,0.000491648,-0.0941756,0.000205711
1.22,-0.107799,0.000262424,-0.0946398,-0.000126028
1.23,-0.10816,-2.19256e-05,-0.0943625,-0.000602324
1.24,-0.108315,-0.000356936,-0.0940179,-0.00103777
1.25,-0.108255,-0.000731354,-0.0939439,-0.00140916
1.26,-0.108013,-0.00113008,-0.0936633,-0.00180685
1.27,-0.107647,-0.00155036,-0.0932267,-0.00222684
1.28,-0.107234,-0.00200108,-0.0927096,-0.00267709
1.29,-0.106828,-0.0024876,-0.0921697,-0.00315747
1.3,-0.106443,-0.00300104,-0.0916238,-0.00365511
1.31,-0.106091,-0.00352852,-0.0911013,-0.00415907
1.32,-0.105792,-0.00405252,-0.0906281,-0.00465041
1.33,-0.105577,-0.00456958,-0.0902452,-0.00513473
1.34,-0.10548,-0.00508759,-0.0899944,-0.00561823
1.35,-0.105517,-0.00560801,-0.0899018,-0.00609925
1.36,-0.105674,-0.00612347,-0.0899668,-0.00657053
1.37,-0.105928,-0.00662676,-0.0901713,-0.00702558
1.38,-0.106265,-0.00706459,-0.0905157,-0.00741319
1.39,-0.106668,-0.0072863,-0.0910095,-0.00760609
1.4,-0.107005,-0.00727238,-0.0915037,-0.00756503
1.41,-0.107292,-0.00712966,-0.0919682,-0.00736077
1.42,-0.107532,-0.006914,-0.0922094,-0.00703137
1.43,-0.107621,-0.00663403,-0.0917621,-0.00655447
1.44,-0.107499,-0.00629525,-0.0910447,-0.006064
1.45,-0.107153,-0.00591095,-0.0906859,-0.00564119
1.46,-0.10662,-0.00549999,-0.090121,-0.00520024
1.47,-0.105962,-0.0050695,-0.0894061,-0.00475582
1.48,-0.105261,-0.00461304,-0.0886132,-0.00430596
1.49,-0.104575,-0.00412636,-0.08781,-0.00384513
1.5,-0.103915,-0.00361735,-0.087011,-0.00337952
1.51,-0.103288,-0.00309618,-0.0862361,-0.00291173
1.52,-0.10271,-0.00257725,-0.0855094,-0.0024534
1.53,-0.102217,-0.00206333,-0.0848809,-0.00199667
1.54,-0.101843,-0.00154407,-0.0843905,-0.0015342
1.55,-0.101604,-0.00101357,-0.0840653,-0.00105941
1.56,-0.101497,-0.000475521,-0.083901,-0.000582294
1.57,-0.101494,5.95657e-05,-0.0838805,-0.000113626
1.58,-0.101602,0.000516805,-0.0840228,0.000285288
1.59,-0.101779,0.000741816,-0.0843169,0.000476228
1.6,-0.101877,0.000720538,-0.0845804,0.000427889
1.61,-0.101971,0.00056173,-0.0848391,0.000208501
1.62,-0.102007,0.000324986,-0.0848269,-0.00015551
1.63,-0.101871,2.17362e-05,-0.0840511,-0.000670462
1.64,-0.101509,-0.000343926,-0.0830308,-0.00117538
1.65,-0.100914,-0.000756966,-0.0824365,-0.00158832
1.66,-0.100127,-0.00119804,-0.0816342,-0.00202688
1.67,-0.0992163,-0.00165961,-0.0806851,-0.00248416
1.68,-0.0982645,-0.00214885,-0.0796645,-0.00296308
1.69,-0.0973316,-0.00267047,-0.0786419,-0.00346724
1.7,-0.0964253,-0.00321784,-0.0776159,-0.00398442
1.71,-0.095547,-0.00378127,-0.076604,-0.00450914
1.72,-0.0947114,-0.00434472,-0.0756352,-0.00503394
1.73,-0.0939557,-0.00490538,-0.0747523,-0.00554193
1.74,-0.0933127,-0.00547311,-0.0740043,-0.00605592
1.75,-0.0927991,-0.00605251,-0.0734065,-0.00657336
1.76,-0.0924127,-0.00663967,-0.0729677,-0.00709482
1.77,-0.0921321,-0.00722423,-0.0726725,-0.00761202
1.78,-0.0919671,-0.00772629,-0.0725435,-0.00804604
1.79,-0.0918809,-0.00799003,-0.0725756,-0.0082612
1.8,-0.0917204,-0.00800038,-0.0725846,-0.00823317
1.81,-0.0915656,-0.007868,-0.0726018,-0.00804269
1.82,-0.091354,-0.00765153,-0.0723605,-0.0077084
1.83,-0.0909667,-0.00736011,-0.0713554,-0.00720903
1.84,-0.0903446,-0.00699715,-0.0700808,-0.00668605
1.85,-0.0894815,-0.00658045,-0.0692186,-0.00623427
1.86,-0.0884242,-0.0061333,-0.0681495,-0.00575907
1.87,-0.0872433,-0.00566645,-0.0669356,-0.00527913
1.88,-0.0860267,-0.00517483,-0.0656626,-0.00479132
1.89,-0.0848337,-0.00465473,-0.0643897,-0.0042967
1.9,-0.0836694,-0.00411022,-0.0631275,-0.00379769
1.91,-0.0825282,-0.00354748,-0.0618723,-0.0032962
1.92,-0.0814266,-0.00298035,-0.060662,-0.00279415
1.93,-0.0804021,-0.00241287,-0.0595386,-0.00230072
1.94,-0.0794893,-0.00183408,-0.0585503,-0.00179948
1.95,-0.0787075,-0.00123475,-0.0577192,-0.00128043
1.96,-0.0780567,-0.000615478,-0.0570467,-0.000745156
1.97,-0.0775222,1.18822e-05,-0.0565281,-0.00019854
1.98,-0.0771301,0.000544931,-0.0562041,0.000263721
1.99,-0.0768171,0.00082638,-0.0560376,0.00050029
2,-0.0764208,0.000846988,-0.055833,0.000483382
2.01,-0.0760281,0.000715131,-0.0556252,0.00028421
2.02,-0.0755704,0.000492805,-0.0551312,-5.43832e-05
2.03,-0.0749223,0.000191968,-0.0538467,-0.000549615
2.04,-0.0740266,-0.000183254,-0.0522906,-0.00105208
2.05,-0.0728848,-0.000613066,-0.0511568,-0.00149454
2.06,-0.0715464,-0.00107261,-0.0498165,-0.00196775
2.07,-0.0700869,-0.00155093,-0.0483346,-0.00245246
2.08,-0.0685981,-0.00205343,-0.0467993,-0.00295041
2.09,-0.0671386,-0.00258367,-0.0452709,-0.0034634
2.1,-0.0657106,-0.00313928,-0.0437563,-0.00398534
2.11,-0.0643002,-0.00371522,-0.0422407,-0.00451949
2.12,-0.0629267,-0.0042956,-0.040763,-0.00504924
2.13,-0.0616254,-0.004876,-0.0393657,-0.00557121
2.14,-0.0604304,-0.00546701,-0.0380937,-0.00609377
2.15,-0.0593614,-0.00607662,-0.0369751,-0.00662613
2.16,-0.0584187,-0.00670479,-0.0360191,-0.00717461
2.17,-0.057587,-0.00734193,-0.0352028,-0.00772588
2.18,-0.0568992,-0.00789144,-0.0345854,-0.00819909
2.19,-0.0563027,-0.0081919,-0.0341322,-0.00844839
2.2,-0.0556377,-0.00822998,-0.0336598,-0.00843667
2.21,-0.0549924,-0.00811422,-0.0332009,-0.00823937
2.22,-0.05429,-0.00790459,-0.0324897,-0.00788599
2.23,-0.0533957,-0.00761047,-0.0310245,-0.00735277
2.24,-0.052244,-0.00723446,-0.0294136,-0.00684346
2.25,-0.0508377,-0.00679852,-0.0280296,-0.00638496
2.26,-0.0492291,-0.00633154,-0.0264318,-0.00590153
2.27,-0.0475019,-0.00584628,-0.024697,-0.00541025
2.28,-0.0457518,-0.00533975,-0.0229153,-0.00491177
2.29,-0.0440372,-0.00481014,-0.0211474,-0.00440876
2.3,-0.0423572,-0.00425711,-0.0193899,-0.0038997
2.31,-0.0406905,-0.00368126,-0.0176284,-0.00338522
2.32,-0.0390562,-0.00309656,-0.0158915,-0.00287157
2.33,-0.0374895,-0.00250932,-0.0142357,-0.00236628
2.34,-0.0360274,-0.00190749,-0.0127081,-0.00185324
2.35,-0.0346929,-0.00127772,-0.0113477,-0.00131836
2.36,-0.0334884,-0.00061714,-0.010146,-0.000754163
2.37,-0.0324044,6.2935e-05,-0.00909876,-0.000179164
2.38,-0.0314913,0.000642396,-0.00827846,0.000316516
2.39,-0.0306715,0.000960084,-0.00762486,0.000577234
2.4,-0.0297812,0.00100718,-0.00694101,0.00058198
2.41,-0.0289074,0.000890519,-0.00626461,0.000397623
2.42,-0.0279695,0.000673299,-0.00532365,7.96905e-05
2.43,-0.0268245,0.000368053,-0.00360881,-0.000387734
2.44,-0.0254114,-1.96469e-05,-0.0017525,-0.000864055
2.45,-0.0237378,-0.000466987,-0.000127771,-0.00132485
2.46,-0.0218595,-0.000943806,0.00170824,-0.00181259
2.47,-0.0198655,-0.00143787,0.0036777,-0.00230971
2.48,-0.0178548,-0.00195284,0.00568832,-0.00281331
2.49,-0.0158856,-0.00248982,0.00768194,-0.00332197
2.5,-0.0139541,-0.00305063,0.00966366,-0.00383696
2.51,-0.0120326,-0.00363637,0.0116681,-0.00436655
2.52,-0.0101381,-0.00423174,0.0136612,-0.00489603
2.53,-0.00830444,-0.00482945,0.0155889,-0.00542677
2.54,-0.00656898,-0.00544105,0.0173994,-0.00596233
2.55,-0.00495534,-0.00608005,0.019062,-0.00652304
2.56,-0.00346491,-0.00675197,0.0205688,-0.00711622
2.57,-0.00208706,-0.00744648,0.021929,-0.00772848
2.58,-0.000879965,-0.00804574,0.023064,-0.00826885
2.59,0.000217863,-0.00838137,0.0240125,-0.00857474
2.6,0.00136752,-0.00844075,0.0249658,-0.00861214
2.61,0.00248167,-0.00833331,0.025897,-0.00844773
2.62,0.00365431,-0.00812161,0.0270638,-0.00811262
2.63,0.00503767,-0.00781637,0.0289674,-0.00759673
2.64,0.00669782,-0.0074212,0.0311768,-0.00705108
2.65,0.00862813,-0.0069608,0.0330438,-0.00656972
2.66,0.010769,-0.00646894,0.0351299,-0.00605954
2.67,0.0130235,-0.00595987,0.0373472,-0.00553965
2.68,0.015289,-0.00543237,0.0395991,-0.00501704
2.69,0.0175067,-0.00488734,0.0418344,-0.00449424
2.7,0.0196816,-0.00432137,0.0440573,-0.00397065
2.71,0.021847,-0.00372861,0.0463094,-0.00343123
2.72,0.0239918,-0.00312237,0.0485669,-0.00289183
2.73,0.0260828,-0.00251207,0.0507685,-0.00236212
