t,sigma_0,sigma_1,sigma_2,sigma_8,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7
28.251,0.011299,0.0107883,0.00807428,0.332248,0.00285565,0.00241628,0.00169959,0.0225326,0.0222683
28.301,0.0113656,0.0108111,0.00808743,0.332803,0.00289616,0.00244472,0.00173655,0.0229406,0.0222255
28.351,0.0114261,0.0108301,0.00809683,0.333286,0.00278715,0.00246747,0.00174686,0.0231231,0.0231002
28.401,0.0114685,0.0108381,0.00809995,0.333852,0.00265327,0.00245021,0.00172116,0.0227453,0.0226717
28.451,0.0115104,0.0108299,0.00810268,0.334407,0.00282293,0.00241685,0.00170002,0.0226724,0.0221056
28.501,0.0115765,0.0108268,0.00811569,0.334907,0.00288584,0.00245587,0.00173707,0.0235689,0.0223616
28.551,0.0116344,0.0108193,0.00812488,0.335303,0.00275566,0.00248595,0.00174695,0.0241878,0.0240592
28.601,0.0116738,0.0108086,0.00812777,0.336065,0.00266131,0.0024462,0.00172061,0.022604,0.0222618
28.651,0.0117184,0.0108136,0.00813045,0.336625,0.00288227,0.00239452,0.00169912,0.0223039,0.0220479
28.701,0.0117886,0.0108308,0.0081435,0.33718,0.00292847,0.00241797,0.0017361,0.0227295,0.021988
28.751,0.0118525,0.0108446,0.00815284,0.337661,0.00281055,0.00244715,0.00174646,0.0229204,0.0229014
28.801,0.0118975,0.0108491,0.00815597,0.33823,0.00264909,0.00245024,0.0017208,0.0225356,0.0224524
28.851,0.0119396,0.0108372,0.00815871,0.338784,0.00280163,0.00244035,0.00169964,0.0224706,0.0218825
28.901,0.0120056,0.0108287,0.00817163,0.339285,0.00285856,0.00248471,0.00173668,0.0233842,0.0221205
28.951,0.0120632,0.0108164,0.00818077,0.339678,0.00272919,0.00250662,0.00174661,0.0240393,0.0238857
29.001,0.0121021,0.0108028,0.00818367,0.340441,0.00265401,0.00244587,0.00172035,0.0224221,0.0220514
29.051,0.0121485,0.0108041,0.00818637,0.341002,0.00289171,0.00238324,0.00169887,0.0221123,0.0218389
29.101,0.012221,0.0108158,0.00819933,0.341557,0.00294084,0.0024029,0.00173585,0.0225499,0.0217812
29.151,0.0122872,0.0108246,0.00820858,0.342036,0.00281874,0.00243386,0.00174608,0.0227527,0.022723
29.201,0.0123338,0.0108252,0.00821166,0.342602,0.00263596,0.00245212,0.00172011,0.0223544,0.022258
29.251,0.0123754,0.0108094,0.00821437,0.343153,0.00276465,0.00247097,0.00169869,0.0222937,0.0216808
29.301,0.01244,0.0107958,0.00822719,0.343657,0.00281825,0.00252178,0.00173577,0.023199,0.0219163
29.351,0.0124965,0.0107793,0.00823627,0.344046,0.00269422,0.00253074,0.00174578,0.0238838,0.0237645
29.401,0.0125345,0.0107629,0.0082392,0.344808,0.00264057,0.00244862,0.00171967,0.0222586,0.0219023
29.451,0.0125823,0.0107602,0.00824191,0.345371,0.00289615,0.0023825,0.00169828,0.0219294,0.0216744
29.501,0.0126567,0.0107659,0.00825476,0.345926,0.00294953,0.00239875,0.00173528,0.0223832,0.0215934
29.551,0.0127245,0.0107693,0.00826396,0.346405,0.00282382,0.00242689,0.00174555,0.0226119,0.0225592
29.601,0.0127722,0.0107665,0.00826705,0.346977,0.00262234,0.00246067,0.00171967,0.0222097,0.0220742
29.651,0.0128124,0.0107483,0.00826977,0.34753,0.00272554,0.00251156,0.00169826,0.0221496,0.0215114
29.701,0.0128751,0.0107301,0.00828249,0.348036,0.00277443,0.00256625,0.00173535,0.0230553,0.0217364
29.751,0.0129297,0.0107099,0.00829153,0.348425,0.00265964,0.00255826,0.0017454,0.0237588,0.0236303
29.801,0.0129662,0.0106914,0.00829447,0.349186,0.00262802,0.00245469,0.00171937,0.0221122,0.0217462
29.851,0.0130146,0.0106855,0.00829719,0.34975,0.00288657,0.00239306,0.00169797,0.0217712,0.0215104
29.901,0.0130897,0.0106862,0.00830995,0.350304,0.00294518,0.00240683,0.001735,0.0222377,0.0214311
29.951,0.0131582,0.0106849,0.00831906,0.350782,0.00282264,0.00242727,0.00174514,0.0224772,0.0224135
30.001,0.0132063,0.0106786,0.0083221,0.351355,0.00260534,0.00246777,0.00171894,0.0220583,0.0218981
30.051,0.0132446,0.0106577,0.00832478,0.351904,0.00268176,0.00254905,0.0016973,0.0220099,0.0213391
30.101,0.0133046,0.0106361,0.00833741,0.352409,0.00272811,0.00260814,0.00173442,0.0229208,0.021588
30.151,0.0133564,0.0106129,0.0083464,0.352794,0.0026217,0.00258291,0.00174455,0.0236372,0.0235646
30.201,0.0133907,0.0105926,0.00834935,0.353556,0.00261215,0.00246156,0.00171868,0.0219681,0.0216458
30.251,0.0134389,0.0105833,0.00835209,0.35412,0.0028719,0.00241317,0.00169736,0.0216285,0.0213986
30.301,0.0135141,0.010579,0.00836475,0.354676,0.00293061,0.00242701,0.00173441,0.0221095,0.0212828
30.351,0.0135826,0.0105733,0.00837381,0.355155,0.0028143,0.00243444,0.0017446,0.0223625,0.0222756
30.401,0.0136306,0.0105643,0.00837685,0.355733,0.00258718,0.00247807,0.00171848,0.0219114,0.0217226
30.451,0.013667,0.0105414,0.00837957,0.35628,0.00263832,0.00259431,0.00169701,0.0218893,0.0211819
30.501,0.0137238,0.0105168,0.00839216,0.356787,0.00267965,0.00266124,0.00173449,0.0227642,0.0214586
30.551,0.0137726,0.0104912,0.00840118,0.357175,0.00258739,0.00261511,0.00174505,0.0234651,0.0234569
30.601,0.0138047,0.0104697,0.0084042,0.357928,0.00259388,0.0024761,0.00171947,0.0218406,0.0215515
30.651,0.013852,0.0104578,0.00840696,0.358492,0.00283988,0.0024464,0.00169814,0.0215096,0.0212809
30.701,0.0139257,0.0104492,0.00841954,0.359044,0.00290031,0.00246116,0.00173515,0.0220484,0.0211705
30.751,0.0139932,0.0104397,0.00842855,0.35952,0.00279548,0.00245182,0.0017453,0.022329,0.0222222
30.801,0.0140405,0.0104286,0.00843159,0.360107,0.00256445,0.00249266,0.00171908,0.0218265,0.0216108
30.851,0.0140744,0.0104052,0.00843466,0.360658,0.00259161,0.00264,0.00169966,0.0218172,0.0210769
30.901,0.0141267,0.0103789,0.0084472,0.361167,0.00262564,0.00270989,0.00173701,0.022689,0.021329
30.951,0.0141714,0.0103521,0.00845618,0.36156,0.00255175,0.00264238,0.00174736,0.0233744,0.0233246
31.001,0.0142009,0.0103302,0.00845918,0.362309,0.00257515,0.00248879,0.00172147,0.0217479,0.0214549
31.051,0.0142473,0.0103163,0.00846191,0.362874,0.00280739,0.00248266,0.00169981,0.0214124,0.0211715
31.101,0.0143191,0.0103044,0.00847444,0.363423,0.00286612,0.00249938,0.00173673,0.0219784,0.0210791
31.151,0.0143848,0.010292,0.00848337,0.363897,0.00277249,0.00247031,0.00174657,0.0222768,0.0221795
31.201,0.0144309,0.0102791,0.00848633,0.364491,0.00254274,0.00250231,0.0017198,0.0217342,0.0214963
31.251,0.0144612,0.0102554,0.00848896,0.36504,0.00253548,0.00265817,0.00169755,0.0217239,0.0209543
31.301,0.0145084,0.0102288,0.00850135,0.365548,0.00256392,0.00273371,0.00173463,0.0226219,0.0212035
31.351,0.0145484,0.0102018,0.00851019,0.365942,0.00250746,0.00265087,0.00174478,0.0233077,0.0232333
31.401,0.0145746,0.01018,0.00851316,0.366688,0.00254649,0.0024902,0.00171893,0.0216786,0.0213804
31.451,0.0146199,0.010164,0.0085159,0.367255,0.00276871,0.00251682,0.00169759,0.0213426,0.0210928
31.501,0.0146898,0.0101495,0.00852838,0.367808,0.00282912,0.00253888,0.00173497,0.0218642,0.0209867
31.551,0.0147538,0.0101347,0.0085373,0.368285,0.00274775,0.00249084,0.00174521,0.022167,0.0220558
31.601,0.0147984,0.0101202,0.00854028,0.368879,0.00251885,0.00250914,0.00171862,0.0216147,0.0213483
31.651,0.0148252,0.0100969,0.00854291,0.369422,0.00248965,0.00268026,0.00169634,0.0216296,0.0208426
31.701,0.0148674,0.0100705,0.0085552,0.369929,0.00251226,0.00276223,0.00173346,0.0225409,0.0211036
31.751,0.014903,0.0100439,0.008564,0.370324,0.00247346,0.00266436,0.00174374,0.0232478,0.0231353
31.801,0.0149262,0.010023,0.00856697,0.371065,0.00252416,0.0024955,0.00171805,0.0216203,0.0213101
31.851,0.0149695,0.0100071,0.00857008,0.371632,0.0027218,0.00255276,0.00169897,0.0212936,0.0210212
31.901,0.0150359,0.00999135,0.00858248,0.372181,0.00277881,0.00257898,0.00173628,0.0218653,0.0209405
31.951,0.015097,0.00997553,0.00859135,0.372655,0.00271624,0.00251134,0.00174643,0.0221748,0.0220701
32.001,0.0151401,0.00996058,0.00859432,0.373258,0.00249922,0.00251642,0.00171968,0.0215609,0.0212828
32.051,0.0151642,0.00993814,0.00859693,0.373803,0.00245208,0.00269765,0.00169717,0.0215859,0.0207756
32.101,0.0152015,0.00991311,0.00860916,0.374314,0.00247229,0.0027821,0.00173426,0.0224727,0.0210163
32.151,0.0152326,0.00988794,0.00861791,0.374714,0.00244918,0.00266828,0.00174447,0.0231575,0.023039
32.201,0.015253,0.00986828,0.00862088,0.375448,0.00250572,0.00249911,0.00171869,0.0215651,0.0212514
32.251,0.0152935,0.00985225,0.0086236,0.376014,0.00266877,0.00257135,0.00169709,0.0212209,0.0209389
32.301,0.0153562,0.00983638,0.00863584,0.376557,0.00272488,0.00260242,0.00173414,0.021872,0.0208877
32.351,0.0154143,0.00982051,0.00864458,0.377026,0.00268279,0.00251811,0.00174407,0.0222177,0.0220913
32.401,0.0154554,0.00980584,0.00864751,0.377642,0.0024762,0.00251046,0.0017173,0.0215148,0.0211791
32.451,0.0154763,0.00978441,0.00865014,0.378187,0.00241485,0.00270704,0.00169506,0.0215288,0.0206797
32.501,0.0155087,0.00976121,0.00866231,0.3787,0.00243382,0.00279361,0.00173259,0.0223647,0.0209602
32.551,0.0155356,0.00973796,0.00867106,0.379103,0.00242568,0.00266521,0.0017432,0.0230123,0.0230013
32.601,0.0155532,0.00971978,0.00867405,0.37983,0.00248457,0.00249876,0.00171762,0.0214808,0.0212439
32.651,0.0155915,0.00970413,0.00867678,0.380397,0.00262111,0.00259339,0.00169602,0.0211621,0.0209031
32.701,0.0156503,0.00968877,0.00868892,0.380938,0.00267514,0.00263072,0.00173313,0.0218495,0.0208425
32.751,0.0157052,0.00967341,0.0086976,0.381403,0.00264937,0.00253034,0.00174315,0.0222203,0.0221157
32.801,0.0157446,0.00965945,0.00870054,0.382029,0.00245703,0.00250699,0.00171653,0.0214434,0.0210943
32.851,0.0157629,0.00964081,0.0087035,0.382576,0.00239076,0.00270058,0.00169639,0.0214636,0.0206349
32.901,0.0157903,0.00962066,0.00871555,0.383091,0.00240552,0.00279049,0.0017335,0.0222943,0.0208949
32.951,0.0158125,0.00960009,0.00872418,0.3835,0.00240873,0.00265598,0.00174363,0.0229192,0.0229097
33.001,0.0158275,0.00958387,0.00872711,0.384218,0.00246805,0.00249664,0.00171765,0.0214283,0.0212178
33.051,0.0158638,0.00956889,0.0087298,0.384787,0.00258256,0.00261655,0.00169583,0.0211037,0.0208576
33.101,0.0159192,0.00955462,0.00874185,0.385327,0.00263411,0.00265891,0.00173294,0.0217998,0.0208202
33.151,0.015971,0.00954025,0.00875046,0.385791,0.00261865,0.00254599,0.00174279,0.0221769,0.022124
33.201,0.0160078,0.00952718,0.00875334,0.386422,0.00244123,0.00250678,0.00171586,0.0213835,0.0210216
33.251,0.0160231,0.00951039,0.00875592,0.386966,0.00236269,0.00269689,0.00169329,0.0214006,0.0205705
33.301,0.0160459,0.0094931,0.00876786,0.387482,0.00237639,0.00278814,0.00173053,0.0222175,0.0208273
33.351,0.016064,0.00947534,0.00877641,0.387899,0.00239031,0.00264625,0.00174075,0.0228041,0.0227761
33.401,0.0160767,0.00946138,0.00877931,0.388604,0.00244965,0.00249203,0.00171484,0.021384,0.0211818
33.451,0.016111,0.00944765,0.00878201,0.389169,0.00254535,0.0026349,0.00169326,0.0211042,0.0208066
33.501,0.0161629,0.00943496,0.008794,0.389709,0.00258969,0.00268413,0.00173082,0.0217923,0.0207976
33.551,0.0162114,0.00942227,0.00880259,0.390174,0.00258682,0.00255325,0.00174108,0.0221889,0.0220995
33.601,0.0162461,0.00941069,0.0088055,0.39081,0.00242533,0.00249913,0.00171442,0.0213631,0.0209524
33.651,0.0162591,0.00939645,0.00880809,0.391353,0.00234358,0.00268176,0.00169191,0.021375,0.0205274
33.701,0.0162777,0.00938274,0.00881992,0.39187,0.00235813,0.0027711,0.0017292,0.0221901,0.0207876
33.751,0.0162922,0.00936838,0.00882841,0.392295,0.00237966,0.00262444,0.00173955,0.0227346,0.0226663
33.801,0.0163027,0.0093568,0.00883134,0.392988,0.00243462,0.00248025,0.00171383,0.0213962,0.0211901
33.851,0.0163347,0.00934553,0.00883436,0.393557,0.00250885,0.00263064,0.00169437,0.0211152,0.0208001
33.901,0.0163826,0.00933579,0.00884622,0.394091,0.00255063,0.00268228,0.00173153,0.0218942,0.0208053
33.951,0.0164282,0.00932559,0.00885468,0.394551,0.00256524,0.00254783,0.00174134,0.022311,0.0221734
34.001,0.0164616,0.00931569,0.00885753,0.395202,0.00241499,0.00248686,0.00171429,0.0213697,0.0208831
34.051,0.0164727,0.00930375,0.00886009,0.395747,0.00233107,0.0026641,0.00169156,0.0213586,0.0204804
34.101,0.0164875,0.00929374,0.00887184,0.396267,0.0023466,0.00275123,0.00172885,0.0221115,0.0207817
34.151,0.0164987,0.00928265,0.00888026,0.396701,0.00237241,0.00260768,0.00173908,0.0226154,0.0225718
34.201,0.016508,0.00927322,0.00888313,0.397381,0.00242531,0.00247234,0.00171308,0.0213425,0.0211868
34.251,0.0165387,0.00926334,0.00888579,0.397947,0.00247645,0.00262946,0.0016912,0.021077,0.0207682
34.301,0.0165836,0.00925623,0.00889753,0.398477,0.00251457,0.00268504,0.00172849,0.0218917,0.0208009
34.351,0.0166264,0.00924845,0.00890591,0.398933,0.00253929,0.00254148,0.00173838,0.0223469,0.0222586
34.401,0.0166587,0.00924049,0.00890872,0.399595,0.002401,0.00247193,0.00171141,0.0213238,0.0208438
34.451,0.0166686,0.0092309,0.0089113,0.400139,0.00231792,0.00265068,0.00168895,0.0213409,0.0204617
34.501,0.0166803,0.00922431,0.00892299,0.400663,0.00233514,0.00273901,0.0017267,0.0220578,0.0207326
34.551,0.0166887,0.00921648,0.00893139,0.401104,0.00236533,0.00259363,0.00173737,0.0225187,0.022452
34.601,0.0166965,0.00920927,0.0089343,0.401771,0.00241333,0.00246405,0.00171161,0.021325,0.0211622
34.651,0.0167258,0.00920151,0.00893696,0.402333,0.00244934,0.00262334,0.0016898,0.0210759,0.0207391
34.701,0.0167676,0.00919742,0.00894859,0.402858,0.00248527,0.00268247,0.00172714,0.0219351,0.020835
34.751,0.0168084,0.00919234,0.00895689,0.403307,0.00252038,0.00253228,0.00173696,0.0224208,0.0223835
34.801,0.0168403,0.00918627,0.00895967,0.403982,0.00239216,0.00245614,0.00170984,0.0213123,0.0208259
34.851,0.0168498,0.00917963,0.00896253,0.40453,0.00231449,0.00261954,0.00168935,0.0213136,0.0204588
34.901,0.0168591,0.00917684,0.00897408,0.405054,0.00233168,0.00270761,0.00172674,0.0220429,0.0207128
34.951,0.0168653,0.00917235,0.00898237,0.405498,0.00236267,0.0025644,0.00173699,0.0224801,0.0224408
35.001,0.0168719,0.00916724,0.00898523,0.406162,0.00240534,0.00244934,0.00171094,0.0213148,0.0211777
35.051,0.0168999,0.00916137,0.00898787,0.406726,0.00242891,0.00261241,0.00168899,0.0210736,0.0207309
35.101,0.0169394,0.00916037,0.00899941,0.407248,0.00246335,0.00267325,0.00172636,0.0219485,0.0208626
35.151,0.0169784,0.009158,0.00900765,0.4077,0.00250453,0.00252008,0.00173626,0.0224222,0.0223912
35.201,0.0170096,0.00915371,0.00901043,0.408378,0.00238643,0.00244256,0.00170927,0.0212814,0.0207758
35.251,0.0170184,0.00914888,0.00901298,0.408925,0.00230478,0.00258932,0.00168656,0.0212743,0.0204217
35.301,0.0170259,0.00914947,0.00902442,0.409451,0.00232313,0.00267602,0.00172406,0.0219968,0.0206859
35.351,0.0170308,0.00914799,0.00903265,0.4099,0.0023556,0.00254027,0.00173457,0.0223882,0.0223899
35.401,0.0170375,0.00914477,0.00903554,0.410556,0.00239965,0.00243559,0.00170892,0.0212807,0.0211671
35.451,0.0170654,0.00914073,0.00903822,0.411118,0.00241858,0.00260521,0.00168732,0.0210779,0.0207069
35.501,0.0171039,0.00914269,0.0090497,0.41164,0.00245174,0.00267209,0.00172511,0.0219172,0.0208907
35.551,0.0171417,0.00914287,0.00905792,0.412093,0.00249595,0.00251674,0.00173534,0.0224058,0.022406
35.601,0.0171721,0.00914026,0.00906073,0.412773,0.00238328,0.0024328,0.00170849,0.0212465,0.0207428
35.651,0.0171805,0.00913744,0.00906327,0.413316,0.00230133,0.00256927,0.00168572,0.0212845,0.0203995
35.701,0.017187,0.00914117,0.00907462,0.41384,0.00231977,0.00264959,0.00172324,0.0220152,0.0206937
35.751,0.0171911,0.00914255,0.0090828,0.41429,0.00235305,0.00251818,0.00173384,0.0223771,0.0224282
35.801,0.0171976,0.00914108,0.0090857,0.414944,0.00239737,0.00242155,0.00170831,0.0212986,0.0212192
35.851,0.0172251,0.0091394,0.00908868,0.415511,0.00241432,0.00258207,0.00168879,0.0210896,0.0207332
35.901,0.0172626,0.00914444,0.00910004,0.416028,0.00244802,0.00264933,0.00172618,0.022021,0.0209233
35.951,0.0173004,0.00914717,0.00910815,0.416479,0.0024998,0.0024995,0.00173593,0.0225132,0.0224895
36.001,0.0173312,0.00914606,0.00911089,0.417168,0.00238385,0.00241969,0.00170863,0.021263,0.0207293
36.051,0.0173395,0.00914487,0.0091134,0.417712,0.00229942,0.00254708,0.00168561,0.0212696,0.0203973
36.101,0.0173455,0.00915143,0.00912468,0.418238,0.00231769,0.00263044,0.00172314,0.0219718,0.0206785
36.151,0.0173493,0.0091553,0.00913282,0.418692,0.00235143,0.00250279,0.00173376,0.0223157,0.0223867
36.201,0.0173559,0.00915527,0.00913572,0.41934,0.0023973,0.00241357,0.00170827,0.0212822,0.0212038
36.251,0.0173832,0.00915488,0.00913838,0.419904,0.0024043,0.00256902,0.00168653,0.0210785,0.0206983
36.301,0.0174202,0.00916255,0.00914964,0.420418,0.00243832,0.002637,0.001724,0.0220461,0.0209354
36.351,0.0174576,0.00916754,0.00915767,0.420872,0.00249492,0.00248564,0.00173374,0.0225217,0.022493
36.401,0.0174886,0.00916785,0.00916037,0.421564,0.00237892,0.00240558,0.0017064,0.021246,0.0207009
36.451,0.0174972,0.0091682,0.00916288,0.422109,0.0022938,0.00252932,0.00168355,0.0212754,0.0203861
36.501,0.0175031,0.00917731,0.00917411,0.422637,0.00231229,0.0026089,0.00172149,0.0219408,0.0206761
36.551,0.0175071,0.0091835,0.00918224,0.423095,0.00234744,0.00248343,0.0017325,0.02225,0.0223455
36.601,0.0175147,0.00918476,0.00918515,0.423736,0.00239856,0.00240066,0.00170722,0.0212705,0.0212206
36.651,0.0175423,0.0091859,0.00918781,0.4243,0.00240228,0.00254459,0.00168548,0.0210836,0.0206832
36.701,0.0175795,0.0091961,0.00919898,0.42481,0.00243838,0.00261491,0.001723,0.0220946,0.0209778
36.751,0.0176171,0.0092032,0.00920695,0.425263,0.00249502,0.00246963,0.00173286,0.0225797,0.0225458
36.801,0.0176481,0.00920475,0.00920966,0.425959,0.00237663,0.00239412,0.00170566,0.0212504,0.0206946
36.851,0.0176573,0.0092068,0.00921247,0.426504,0.00229633,0.00251117,0.00168497,0.0212733,0.0204008
36.901,0.017663,0.00921818,0.00922359,0.427031,0.00231338,0.00259018,0.0017225,0.021964,0.0206881
36.951,0.0176671,0.00922635,0.00923163,0.42749,0.00234827,0.00246748,0.0017332,0.022252,0.0223684
37.001,0.0176751,0.00922865,0.00923453,0.428128,0.00239916,0.00239252,0.00170783,0.0212996,0.0212279
37.051,0.017703,0.00923109,0.00923719,0.42869,0.00240043,0.00252817,0.00168604,0.0211192,0.0206846
37.101,0.0177398,0.00924357,0.0092483,0.4292,0.00243639,0.00260164,0.00172354,0.0221286,0.0209924
37.151,0.0177775,0.00925252,0.00925622,0.429654,0.00249643,0.0024588,0.00173337,0.0225862,0.02256
37.201,0.0178093,0.00925511,0.00925892,0.430352,0.00237912,0.002388,0.00170611,0.0212369,0.0206742
37.251,0.017819,0.00925793,0.00926142,0.430894,0.00229192,0.00249498,0.0016831,0.021261,0.0203879
37.301,0.0178255,0.00927132,0.00927244,0.431421,0.00230775,0.00257587,0.00172072,0.0219563,0.0206957
37.351,0.0178303,0.00928127,0.00928044,0.431881,0.00234423,0.00245656,0.00173158,0.0222156,0.0223952
37.401,0.017839,0.00928447,0.00928335,0.432518,0.00240035,0.00238355,0.00170647,0.021284,0.0212485
37.451,0.0178675,0.00928809,0.00928602,0.43308,0.00240411,0.00252095,0.00168495,0.0211455,0.0206849
37.501,0.0179052,0.00930267,0.00929709,0.433589,0.00244052,0.00259577,0.00172283,0.0221559,0.0210262
37.551,0.0179434,0.00931335,0.00930501,0.434048,0.00249688,0.00245344,0.00173293,0.0225869,0.0225605
37.601,0.0179751,0.00931682,0.00930771,0.434746,0.00237911,0.00238216,0.00170573,0.0212206,0.0206665
37.651,0.0179852,0.00932056,0.00931018,0.435288,0.00229153,0.00248234,0.00168262,0.0212676,0.0203875
37.701,0.0179921,0.00933576,0.00932114,0.435814,0.00230615,0.0025628,0.00172025,0.0219725,0.0206974
37.751,0.0179977,0.00934726,0.00932909,0.436275,0.00234348,0.00244238,0.00173116,0.0222186,0.0224147
37.801,0.0180075,0.00935112,0.00933199,0.436909,0.00240345,0.00237583,0.00170614,0.0213031,0.0212649
37.851,0.0180369,0.00935592,0.00933493,0.437472,0.0024115,0.0025,0.00168667,0.0211531,0.020695
37.901,0.0180752,0.00937219,0.0093459,0.437974,0.00245002,0.00257423,0.00172413,0.0222606,0.0210829
37.951,0.0181146,0.00938414,0.00935371,0.438425,0.00250796,0.00243947,0.00173371,0.0227432,0.0227258
38.001,0.0181475,0.00938813,0.00935633,0.439135,0.00238143,0.00237503,0.00170603,0.0212803,0.0206893
38.051,0.0181583,0.00939257,0.00935877,0.439679,0.00229196,0.00247133,0.00168268,0.0212816,0.0204093
38.101,0.0181659,0.00940935,0.00936966,0.440208,0.002305,0.00254919,0.00172029,0.0219614,0.0206922
38.151,0.018172,0.00942217,0.00937755,0.440674,0.00234304,0.00243222,0.00173102,0.0221788,0.0223554
38.201,0.018182,0.00942652,0.00938038,0.441301,0.00240336,0.00236808,0.00170565,0.0213158,0.0212551
38.251,0.0182117,0.00943163,0.00938298,0.441859,0.00240964,0.0024739,0.00168374,0.0211818,0.0206667
38.301,0.018251,0.00944929,0.00939385,0.442357,0.00245314,0.00254676,0.00172134,0.0223175,0.0211136
38.351,0.0182912,0.00946232,0.00940161,0.442807,0.00250502,0.00241944,0.00173117,0.0228008,0.0227896
38.401,0.0183244,0.00946679,0.00940424,0.443521,0.00237614,0.00236417,0.00170389,0.0212847,0.0206848
38.451,0.0183354,0.00947206,0.0094067,0.444066,0.00228901,0.00246505,0.00168097,0.0212857,0.0204124
38.501,0.0183436,0.0094904,0.00941756,0.444597,0.00230207,0.00254572,0.001719,0.0219222,0.0207
38.551,0.0183505,0.00950455,0.00942543,0.445067,0.00234213,0.00242634,0.00173006,0.0221214,0.0223082
38.601,0.0183618,0.00950933,0.00942827,0.445687,0.00240669,0.00236127,0.00170482,0.0212927,0.021247
38.651,0.0183927,0.00951493,0.00943086,0.446243,0.00241968,0.00245694,0.00168294,0.0211714,0.020661
38.701,0.0184336,0.00953382,0.00944165,0.446739,0.00246492,0.00253035,0.00172056,0.022338,0.021147
38.751,0.0184751,0.00954768,0.00944932,0.447186,0.00251233,0.00240745,0.00173025,0.0228323,0.0228765
38.801,0.0185085,0.00955231,0.0094519,0.447904,0.00237538,0.00235782,0.00170273,0.0212768,0.0206937
38.851,0.0185198,0.00955818,0.0094546,0.448449,0.0022925,0.00245377,0.00168177,0.0212578,0.0204327
38.901,0.0185289,0.00957765,0.00946535,0.448979,0.00230358,0.00253539,0.00171943,0.0219353,0.0207032
38.951,0.0185365,0.00959275,0.00947315,0.449448,0.00234347,0.0024188,0.00173023,0.0221324,0.0223373
39.001,0.0185479,0.00959769,0.00947597,0.450065,0.00240777,0.00235741,0.00170498,0.0213396,0.021269
39.051,0.0185794,0.00960354,0.00947855,0.450621,0.00242701,0.00243985,0.00168313,0.0212038,0.0206618
39.101,0.0186216,0.00962334,0.00948928,0.451114,0.0024765,0.00251029,0.00172074,0.0223946,0.0211747
39.151,0.0186638,0.00963779,0.00949691,0.45156,0.00251401,0.00239643,0.00173041,0.0228792,0.022954
39.201,0.0186977,0.00964249,0.00949947,0.452282,0.00237596,0.00235382,0.00170289,0.0212886,0.0207073
39.251,0.0187095,0.00964841,0.00950186,0.452828,0.00229054,0.00244097,0.00167968,0.0212446,0.0204361
39.301,0.0187201,0.00966894,0.00951252,0.453359,0.00230003,0.00252387,0.00171742,0.0219293,0.0206912
39.351,0.0187288,0.00968494,0.00952027,0.453832,0.00234125,0.00240817,0.00172841,0.0220828,0.0222946
39.401,0.0187409,0.00969014,0.00952309,0.454446,0.00240855,0.00235086,0.00170344,0.0213071,0.021241
39.451,0.0187731,0.00969643,0.00952569,0.455,0.00243866,0.00242744,0.00168195,0.0211917,0.0206412
39.501,0.0188171,0.00971714,0.00953639,0.455495,0.00249256,0.00249933,0.00171995,0.0223258,0.0212011
39.551,0.0188607,0.00973223,0.00954403,0.455944,0.00252021,0.00239094,0.00173012,0.0227915,0.0229596
39.601,0.0188944,0.00973702,0.00954663,0.456662,0.00237893,0.0023541,0.00170301,0.0212333,0.0207061
39.651,0.0189064,0.00974326,0.00954904,0.457205,0.00229558,0.00244071,0.00167996,0.0212111,0.0204343
39.701,0.0189186,0.00976489,0.00955965,0.457735,0.00230358,0.00252501,0.00171768,0.0218981,0.0206988
39.751,0.0189289,0.00978176,0.00956735,0.458207,0.00234511,0.0024075,0.00172865,0.0220662,0.022344
39.801,0.0189415,0.00978693,0.00957015,0.458821,0.00241512,0.00234907,0.00170365,0.0213275,0.0212715
39.851,0.0189747,0.00979319,0.009573,0.459379,0.00245905,0.00241413,0.00168417,0.0212184,0.0206484
39.901,0.0190208,0.00981427,0.00958361,0.459866,0.0025193,0.00248143,0.00172173,0.0224684,0.0212631
39.951,0.0190662,0.00982931,0.00959115,0.460305,0.00253562,0.0023828,0.00173132,0.0229864,0.0231678
40.001,0.0191001,0.00983358,0.00959367,0.461035,0.0023812,0.00235319,0.00170366,0.0213098,0.0207518
40.051,0.019112,0.00984005,0.00959603,0.461581,0.00229958,0.00244049,0.00168033,0.0212321,0.0204654
40.101,0.0191256,0.0098627,0.00960658,0.462114,0.00230687,0.00252538,0.00171804,0.0219119,0.0206682
40.151,0.0191368,0.00988036,0.00961422,0.462589,0.00234744,0.00240611,0.00172877,0.0220655,0.0222689
40.201,0.0191493,0.00988562,0.00961695,0.463197,0.0024135,0.00234773,0.00170337,0.0213728,0.0212254
40.251,0.0191823,0.00989147,0.00961946,0.463749,0.0024643,0.00239458,0.00168145,0.0212724,0.0206079
40.301,0.0192301,0.00991278,0.00962998,0.464233,0.00252944,0.00245807,0.00171914,0.0225359,0.0212704
40.351,0.0192763,0.00992791,0.00963747,0.464672,0.00253416,0.002372,0.00172896,0.0230698,0.0232007
40.401,0.0193099,0.00993196,0.00963999,0.465404,0.00237827,0.0023487,0.00170168,0.0213352,0.0207348
40.451,0.0193221,0.00993909,0.00964237,0.465947,0.00230216,0.00244889,0.00167882,0.0212685,0.0204556
40.501,0.0193376,0.00996307,0.0096529,0.466482,0.00230932,0.00253677,0.00171694,0.0219086,0.0206628
