t,sigma_0,sigma_1,sigma_2,sigma_8,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7
2.451,0.0024551,0.00245886,0.00248021,0.0677147,0.0027386,0.00373846,0.00244669,0.570345,0.419811
2.501,0.00249915,0.00250812,0.00250903,0.069204,0.00370208,0.00284175,0.00255897,0.575291,0.405735
2.551,0.00252481,0.00252949,0.00252929,0.0712454,0.00369877,0.00278538,0.00235732,0.567128,0.392966
2.601,0.00253192,0.00253396,0.00253362,0.0701626,0.00284216,0.00393561,0.00220683,0.544237,0.377212
2.651,0.00254589,0.00254656,0.00254065,0.0697466,0.00280003,0.00384651,0.00236497,0.517414,0.370902
2.701,0.00258738,0.00259488,0.00257967,0.0696653,0.00388312,0.00280449,0.00249441,0.505943,0.374005
2.751,0.00261258,0.00261682,0.00260703,0.0699405,0.00380214,0.00282122,0.00242443,0.484179,0.36686
2.801,0.00261965,0.00262046,0.00261304,0.0698161,0.00284231,0.00367515,0.00216163,0.452388,0.352854
2.851,0.00263374,0.00263101,0.00261821,0.0700707,0.00277311,0.00356921,0.00239924,0.436375,0.334948
2.901,0.0026745,0.00267721,0.00265761,0.0709343,0.00358853,0.00278901,0.00249512,0.439175,0.324116
2.951,0.00269882,0.00270148,0.00268705,0.072194,0.00369498,0.00285494,0.00234486,0.430401,0.313556
3.001,0.00270661,0.00270701,0.00269724,0.0718736,0.00294794,0.00370495,0.00215354,0.409697,0.299865
3.051,0.00271968,0.00271721,0.00270675,0.0718457,0.00291139,0.00363229,0.00230803,0.387698,0.29288
3.101,0.00275852,0.00276188,0.00274967,0.0720627,0.00367613,0.00293208,0.00240685,0.379325,0.293998
3.151,0.00278262,0.00278621,0.00278116,0.0725033,0.00369957,0.00296159,0.00232562,0.363182,0.287575
3.201,0.00279003,0.00279133,0.00279168,0.0724004,0.00295494,0.00350535,0.00212847,0.339715,0.275724
3.251,0.00280245,0.00280078,0.00280211,0.0726965,0.00286115,0.00338676,0.00232493,0.326446,0.262226
3.301,0.0028404,0.00284327,0.00284746,0.073263,0.00344491,0.00291217,0.00241089,0.327151,0.255261
3.351,0.00286398,0.00286863,0.0028809,0.0740123,0.00353266,0.00299442,0.00228435,0.319204,0.247593
3.401,0.00287167,0.00287529,0.00289179,0.0740831,0.00304282,0.00349541,0.00208029,0.302884,0.237052
3.451,0.00288301,0.00288466,0.00290118,0.07428,0.00298638,0.00339215,0.00219442,0.287037,0.230659
3.501,0.00291966,0.00292548,0.00294584,0.0746263,0.0034867,0.00306461,0.0022717,0.281695,0.230584
3.551,0.00294329,0.00295063,0.00297726,0.0750894,0.00348039,0.00308622,0.00218021,0.270811,0.225447
3.601,0.00295052,0.00295691,0.002986,0.0751814,0.00301827,0.00334179,0.00203777,0.254566,0.216363
3.651,0.0029612,0.00296616,0.00299537,0.0755278,0.00290756,0.00321334,0.00215925,0.244627,0.206967
3.701,0.00299686,0.00300535,0.00304059,0.0759823,0.00328396,0.00300278,0.00222955,0.244458,0.202844
3.751,0.00301992,0.00303082,0.0030724,0.0765252,0.00334255,0.0030757,0.00213738,0.23851,0.197519
3.801,0.00302746,0.00303846,0.00308064,0.0767843,0.00306228,0.00332091,0.00198454,0.226946,0.189748
3.851,0.00303761,0.00304782,0.00308808,0.0770954,0.00299048,0.00321789,0.00205868,0.216267,0.184442
3.901,0.00307251,0.00308566,0.00313116,0.0774808,0.00330337,0.00310382,0.00212082,0.213038,0.183953
3.951,0.00309584,0.00311077,0.00316024,0.0779364,0.00330629,0.00312072,0.00205294,0.206008,0.180049
4.001,0.00310325,0.00311811,0.00316651,0.0781744,0.00301539,0.00320011,0.00195493,0.195138,0.17322
4.051,0.00311291,0.00312759,0.00317373,0.0785525,0.00290062,0.00308061,0.0020308,0.188013,0.166645
4.101,0.00314669,0.00316435,0.00321605,0.0789756,0.00313894,0.00301902,0.00209262,0.187544,0.164194
4.151,0.00316925,0.00318955,0.003245,0.0794526,0.00319081,0.00307845,0.00203534,0.18334,0.160457
4.201,0.00317685,0.00319802,0.00325131,0.0797999,0.00302606,0.00317422,0.0019173,0.175403,0.154706
4.251,0.00318628,0.00320742,0.00325713,0.0801622,0.00294601,0.00307483,0.00195566,0.168243,0.150445
4.301,0.00321949,0.00324279,0.00329709,0.0805538,0.0031517,0.00306949,0.00201005,0.166218,0.149813
4.351,0.00324217,0.00326713,0.00332337,0.0809917,0.00316026,0.00308195,0.00196823,0.161608,0.146832
4.401,0.00324968,0.00327496,0.00332807,0.0813354,0.00296571,0.00307579,0.00190063,0.154316,0.141727
4.451,0.00325873,0.00328461,0.00333394,0.0817395,0.00285438,0.00296777,0.00194735,0.149289,0.137045
4.501,0.00329092,0.00331958,0.00337312,0.0821625,0.00301751,0.00298215,0.00200309,0.148798,0.135514
4.551,0.00331303,0.0033445,0.00339969,0.0826213,0.00306679,0.00303236,0.00196815,0.145868,0.132844
4.601,0.00332088,0.00335373,0.00340529,0.0830186,0.00296451,0.0030542,0.00187477,0.140414,0.128577
4.651,0.00333094,0.00336413,0.00341161,0.0834115,0.00289629,0.00297408,0.0018939,0.135661,0.125358
4.701,0.0033632,0.00339804,0.00344888,0.0837991,0.00304605,0.0030172,0.00194312,0.134343,0.124786
4.751,0.0033856,0.00342182,0.00347316,0.0842187,0.00305818,0.0030279,0.00191794,0.131204,0.122526
4.801,0.00339316,0.00342978,0.00347719,0.0846443,0.00291222,0.00298216,0.00186732,0.126117,0.118662
4.851,0.0034018,0.00343949,0.00348239,0.0850698,0.00280634,0.00288483,0.0018959,0.122491,0.115234
4.901,0.00343314,0.00347358,0.00351916,0.0855049,0.00293093,0.00293571,0.00194758,0.122086,0.114222
4.951,0.00345504,0.00349837,0.00354402,0.0859638,0.00297688,0.0029787,0.00192533,0.119999,0.11226
5.001,0.00346286,0.0035078,0.00354915,0.086389,0.00290395,0.00296095,0.00184798,0.116112,0.109037
5.051,0.00347184,0.0035171,0.00355385,0.0868008,0.00283035,0.00287624,0.0018498,0.112654,0.106466
5.101,0.00350324,0.0035496,0.00358873,0.0871871,0.0029503,0.00294147,0.00189613,0.111779,0.106012
5.151,0.00352542,0.0035727,0.00361153,0.0875966,0.00296551,0.00295391,0.0018819,0.109609,0.104334
5.201,0.00353329,0.00358073,0.00361546,0.088077,0.00285109,0.00289659,0.00184043,0.105992,0.101418
5.251,0.00354178,0.0035904,0.00362027,0.0885188,0.00275329,0.00280866,0.00185301,0.103344,0.0988701
5.301,0.00357213,0.00362326,0.00365449,0.0889647,0.00285281,0.00287308,0.00190085,0.103005,0.0981542
5.351,0.00359358,0.00364748,0.00367766,0.0894292,0.00289468,0.00291076,0.00188872,0.101481,0.0966807
5.401,0.00360159,0.00365711,0.00368272,0.0898732,0.00284206,0.0028782,0.00182521,0.098666,0.0942413
5.451,0.0036107,0.00366629,0.00368744,0.0903014,0.00277543,0.00279795,0.00181958,0.0961632,0.0922623
5.501,0.00364156,0.00369747,0.00372029,0.0906913,0.00287813,0.00287132,0.00186359,0.0955633,0.0919153
5.551,0.00366369,0.00371977,0.00374191,0.091098,0.002894,0.00288557,0.00185644,0.0940071,0.0906564
5.601,0.00367191,0.00372771,0.00374599,0.0916153,0.00279818,0.00282645,0.00181982,0.0913389,0.0884152
5.651,0.00368125,0.00373808,0.00375172,0.0920701,0.00271646,0.00275427,0.00182566,0.0894169,0.0865311
5.701,0.00371125,0.00377015,0.0037841,0.0925278,0.00280139,0.00282392,0.00187141,0.0891523,0.086004
5.751,0.00373266,0.00379395,0.00380613,0.0929989,0.00283913,0.00285751,0.0018653,0.0880083,0.0848674
5.801,0.00374081,0.00380353,0.00381118,0.0934561,0.00279575,0.00281634,0.00181074,0.0858911,0.0829724
