t,err_imu_only,err_contact
1.74,0.00613873,0.0196998
1.75,0.00603675,0.0187608
1.76,0.00604354,0.017432
1.77,0.006293,0.0159263
1.78,0.00624808,0.0139472
1.79,0.00647528,0.012808
1.8,0.0069205,0.0120821
1.81,0.00719173,0.0115951
1.82,0.00747481,0.0107792
1.83,0.0076592,0.00899164
1.84,0.00789455,0.00889458
1.85,0.00761216,0.00986333
1.86,0.00746617,0.0109729
1.87,0.00729329,0.0124509
1.88,0.00720128,0.0139967
1.89,0.00700545,0.0155742
1.9,0.00723663,0.0168293
1.91,0.00714975,0.0179893
1.92,0.00729754,0.0183119
1.93,0.00758588,0.018029
1.94,0.00791756,0.0171397
1.95,0.00782542,0.0164797
1.96,0.00790975,0.015593
1.97,0.00801129,0.0143804
1.98,0.00829809,0.0122705
1.99,0.0085341,0.0113002
2,0.00874025,0.0114911
2.01,0.00902368,0.0113942
2.02,0.0092123,0.0106186
2.03,0.00902782,0.00846594
2.04,0.00912925,0.00824516
2.05,0.00919148,0.0095032
2.06,0.0091408,0.0109085
2.07,0.00898875,0.0122203
2.08,0.00894377,0.0137235
2.09,0.0090346,0.0149706
2.1,0.00936953,0.0161619
2.11,0.00934949,0.0172032
2.12,0.00941725,0.0174417
2.13,0.00950251,0.0172253
2.14,0.00927738,0.0168977
2.15,0.00934408,0.0160141
2.16,0.00958772,0.0149067
2.17,0.00962752,0.0136989
2.18,0.00992479,0.012192
2.19,0.010331,0.0115523
2.2,0.0105155,0.0112687
2.21,0.0109183,0.0112371
2.22,0.0109263,0.010824
2.23,0.0109316,0.0090964
2.24,0.0107374,0.00867976
2.25,0.0104394,0.00916648
2.26,0.0103028,0.00999249
2.27,0.0101515,0.01112
2.28,0.0102393,0.0121948
2.29,0.00992766,0.0132033
2.3,0.00986383,0.0142497
2.31,0.00971484,0.0153527
2.32,0.00961178,0.0159639
2.33,0.00972252,0.0159068
2.34,0.00997791,0.0154084
2.35,0.0105116,0.0144929
2.36,0.0106013,0.0138599
2.37,0.0107316,0.0131881
2.38,0.010972,0.0123279
2.39,0.0115733,0.0119866
2.4,0.0122733,0.0126385
2.41,0.0125517,0.0130221
2.42,0.0126662,0.0127732
2.43,0.0128669,0.0107069
2.44,0.0129626,0.00993061
2.45,0.0130279,0.0104025
2.46,0.0131101,0.0108262
2.47,0.0130844,0.0111367
2.48,0.0129906,0.0113951
2.49,0.0128898,0.0120065
2.5,0.012645,0.0128022
2.51,0.0123255,0.0136304
2.52,0.0123892,0.014019
2.53,0.0122266,0.0141009
2.54,0.012415,0.0138131
2.55,0.0126184,0.0136403
2.56,0.0130663,0.0128838
2.57,0.0135328,0.0127019
2.58,0.0140344,0.0123025
2.59,0.014388,0.0130718
2.6,0.0149689,0.0140505
2.61,0.0153806,0.0146032
2.62,0.0156515,0.0143215
2.63,0.0155943,0.0123224
2.64,0.0154238,0.0109833
2.65,0.0153611,0.0111388
2.66,0.0151896,0.0113368
2.67,0.0153528,0.0112201
2.68,0.0151162,0.0112887
2.69,0.0147899,0.0118002
2.7,0.0144584,0.0121256
2.71,0.0145496,0.0125377
2.72,0.0144541,0.0129291
2.73,0.0145198,0.0131575
2.74,0.0146716,0.0131513
2.75,0.0147838,0.0129311
2.76,0.0149995,0.0127876
2.77,0.0151756,0.0125902
2.78,0.0155638,0.011773
2.79,0.016077,0.0122174
2.8,0.0165614,0.0133513
2.81,0.0166506,0.013884
2.82,0.0168065,0.0136541
2.83,0.0168037,0.012291
2.84,0.0168527,0.0116205
2.85,0.0169802,0.0120814
2.86,0.0171331,0.0124467
2.87,0.0170821,0.0121506
2.88,0.0169264,0.0121948
2.89,0.0170662,0.012291
2.9,0.0170366,0.0124283
2.91,0.0168433,0.0131525
2.92,0.0170411,0.0132667
2.93,0.0170507,0.0135143
2.94,0.0169889,0.01345
2.95,0.0169576,0.0135857
2.96,0.0172332,0.013423
2.97,0.0173876,0.0132453
2.98,0.0179804,0.0127587
2.99,0.0182091,0.0128697
3,0.0186799,0.0137836
3.01,0.0188145,0.0141243
3.02,0.0190761,0.0142008
3.03,0.0192293,0.0129669
3.04,0.0189931,0.0118212
3.05,0.0189876,0.0122336
3.06,0.0189866,0.0124251
3.07,0.0187899,0.0122753
3.08,0.0186253,0.01216
3.09,0.0184696,0.0120209
3.1,0.0183431,0.0123752
3.11,0.0179271,0.0126604
3.12,0.0180178,0.0127262
3.13,0.0179116,0.0130968
3.14,0.0178633,0.0133274
3.15,0.0183347,0.0132772
3.16,0.018611,0.0132304
3.17,0.0191042,0.0133261
3.18,0.0194566,0.0131902
3.19,0.0197258,0.0131826
3.2,0.020031,0.0137754
3.21,0.0202393,0.0136766
3.22,0.0205567,0.0134348
3.23,0.0208072,0.012209
3.24,0.0207162,0.0112716
3.25,0.0206723,0.0111873
3.26,0.0204441,0.010993
3.27,0.0204491,0.0111263
3.28,0.0202126,0.0110082
3.29,0.0200817,0.0111626
3.3,0.0200975,0.0112955
3.31,0.0200272,0.0117981
3.32,0.0200986,0.0118529
3.33,0.0200122,0.0121901
3.34,0.0201005,0.012195
3.35,0.0203961,0.0119214
3.36,0.0205399,0.0121985
3.37,0.0209929,0.0119499
3.38,0.0215804,0.0117528
3.39,0.0220901,0.0121309
3.4,0.0228315,0.013236
3.41,0.0229439,0.0137204
3.42,0.0231174,0.0141116
3.43,0.0233142,0.0131063
3.44,0.0236146,0.0121573
3.45,0.0237464,0.0122358
3.46,0.0236986,0.0118725
3.47,0.0234902,0.0114797
3.48,0.0231177,0.0112581
3.49,0.0227562,0.0109637
3.5,0.0226821,0.0106345
3.51,0.0224554,0.0103749
3.52,0.0226329,0.0102105
3.53,0.0227083,0.0100142
3.54,0.0228356,0.0101437
3.55,0.0232819,0.0102903
3.56,0.0236999,0.0105121
3.57,0.024317,0.0110019
3.58,0.0248887,0.0112998
3.59,0.025132,0.0119462
3.6,0.0256546,0.0130873
3.61,0.0260715,0.0138588
3.62,0.0260969,0.0139559
3.63,0.0260898,0.0127624
3.64,0.0259154,0.0115468
3.65,0.0258857,0.0114645
3.66,0.0258969,0.0112137
3.67,0.0255654,0.010918
3.68,0.0255066,0.0105026
3.69,0.025449,0.0100365
3.7,0.0249896,0.00989415
3.71,0.0250176,0.0099663
3.72,0.0253511,0.00982288
3.73,0.0259129,0.0096352
3.74,0.0258436,0.00950872
3.75,0.0262279,0.00972873
3.76,0.0264203,0.00998339
3.77,0.0268091,0.0103447
3.78,0.0272972,0.0108574
3.79,0.0278266,0.0121596
3.8,0.0284046,0.0134779
3.81,0.0289497,0.0148153
3.82,0.0293081,0.0149801
3.83,0.0292958,0.0139757
3.84,0.0290567,0.0127161
3.85,0.0289822,0.0124079
3.86,0.0286788,0.0118315
3.87,0.0285976,0.0112071
3.88,0.0285215,0.0104929
3.89,0.0284133,0.00953082
3.9,0.0281682,0.00913319
3.91,0.0282328,0.00902478
3.92,0.0282859,0.00881301
3.93,0.0285009,0.00899378
3.94,0.0286864,0.00937168
3.95,0.0290033,0.0101259
3.96,0.0292466,0.0108462
3.97,0.0295756,0.0114832
3.98,0.0298862,0.0122934
3.99,0.030564,0.0132688
4,0.0309415,0.0142415
4.01,0.0311695,0.0149698
4.02,0.0311652,0.0146966
4.03,0.0317302,0.0139368
4.04,0.0319483,0.0129292
4.05,0.0320645,0.0127106
4.06,0.0319402,0.0120172
4.07,0.031604,0.0111516
4.08,0.0315137,0.0101913
4.09,0.0314646,0.00958802
4.1,0.0315201,0.00899591
4.11,0.0314125,0.00845796
4.12,0.031464,0.00809492
4.13,0.0314884,0.0080898
4.14,0.0314687,0.0084526
4.15,0.0318197,0.00891654
4.16,0.0322625,0.00929764
4.17,0.0327022,0.0102874
4.18,0.0329945,0.0109098
4.19,0.0337244,0.0122541
4.2,0.0339633,0.0135952
4.21,0.0343715,0.0146442
4.22,0.0348475,0.0150627
4.23,0.0350661,0.0138952
4.24,0.0350651,0.0128933
4.25,0.0350349,0.0127749
4.26,0.0347888,0.0123312
4.27,0.0345403,0.0117138
4.28,0.034303,0.0108684
4.29,0.03406,0.0099806
4.3,0.034157,0.00939903
