t,roll_err_deg,roll_err_rms_deg,bay_err_rms,roll_sigma_deg,bay_err,bay_sigma,turning
8.23,0.214681,0.298058,0.047927,0.588105,-0.0391728,0.100844,0
8.24,0.194277,0.294293,0.0473885,0.588227,-0.0348553,0.100831,0
8.25,0.201742,0.289872,0.0467255,0.588416,-0.0349365,0.100828,0
8.26,0.208713,0.284932,0.0460383,0.588587,-0.034765,0.100824,0
8.27,0.22254,0.280058,0.0454369,0.58873,-0.0341444,0.100816,0
8.28,0.232099,0.276238,0.0450286,0.588829,-0.0329224,0.100803,0
8.29,0.235105,0.273807,0.0448167,0.588871,-0.0311851,0.100785,0
8.3,0.231636,0.271745,0.0446386,0.58885,-0.0292845,0.100761,0
8.31,0.216934,0.269998,0.0444857,0.588753,-0.0272969,0.10073,0
8.32,0.203265,0.268671,0.0443728,0.588538,-0.0263582,0.100685,0
8.33,0.204281,0.267994,0.0443111,0.588235,-0.0280256,0.100629,0
8.34,0.231221,0.268169,0.0443017,0.587902,-0.0327826,0.10057,0
8.35,0.274057,0.268932,0.044329,0.587565,-0.0397296,0.100509,0
8.36,0.322141,0.269574,0.0443656,0.587216,-0.0473417,0.100442,0
8.37,0.362674,0.26972,0.0443739,0.586838,-0.0545497,0.100368,0
8.38,0.382749,0.269219,0.0443045,0.586448,-0.0609636,0.100289,0
8.39,0.391104,0.268144,0.0441359,0.586067,-0.0652975,0.100207,0
8.4,0.400106,0.266993,0.0439368,0.585695,-0.0663691,0.10013,0
8.41,0.403972,0.265793,0.043705,0.585326,-0.0641981,0.100063,0
8.42,0.381353,0.264474,0.0434237,0.584964,-0.0585164,0.100007,0
8.43,0.332862,0.262889,0.0430799,0.584605,-0.0498188,0.0999608,0
8.44,0.297323,0.260696,0.0426705,0.584364,-0.0451766,0.0999422,0
8.45,0.288985,0.258179,0.0422149,0.584201,-0.0449883,0.0999412,0
8.46,0.276904,0.255887,0.0417464,0.584006,-0.0445944,0.0999393,0
8.47,0.259014,0.25406,0.0413132,0.583783,-0.0439001,0.0999359,0
8.48,0.240637,0.252892,0.0409906,0.58354,-0.0429157,0.0999307,0
8.49,0.221786,0.252572,0.0408355,0.583298,-0.0417246,0.0999231,0
8.5,0.208256,0.252712,0.0407767,0.583069,-0.0405373,0.0999132,0
8.51,0.202659,0.253488,0.040829,0.582849,-0.0395676,0.0998999,0
8.52,0.205745,0.254964,0.0410218,0.582597,-0.0390088,0.0998776,0
8.53,0.211234,0.256895,0.0413694,0.582327,-0.038913,0.0998493,0
8.54,0.213563,0.258897,0.0418643,0.582064,-0.039292,0.0998217,0
8.55,0.219058,0.261048,0.0424516,0.58182,-0.0401025,0.0997977,0
8.56,0.225389,0.263589,0.0430504,0.581581,-0.0414417,0.0997762,0
8.57,0.234887,0.266311,0.0435812,0.581327,-0.0430729,0.0997551,0
8.58,0.255802,0.268389,0.043955,0.581099,-0.0446194,0.0997331,0
8.59,0.277896,0.269351,0.0441394,0.580967,-0.0456139,0.0997098,0
8.6,0.274893,0.269396,0.0442104,0.580897,-0.04546,0.0996856,0
8.61,0.25079,0.268313,0.0441449,0.58087,-0.0439694,0.0996615,0
8.62,0.218768,0.265921,0.043911,0.580886,-0.0405888,0.0996383,0
8.63,0.180063,0.262359,0.043492,0.580925,-0.0345744,0.0996141,0
8.64,0.167473,0.258073,0.0428946,0.581075,-0.0315438,0.0996054,0
8.65,0.174747,0.253227,0.042182,0.581269,-0.0316052,0.0996033,0
8.66,0.182497,0.247902,0.0414538,0.581444,-0.0314364,0.0995993,0
8.67,0.189473,0.242682,0.0408161,0.581592,-0.0308003,0.0995923,0
8.68,0.196465,0.238562,0.0403712,0.581699,-0.0296234,0.0995812,0
8.69,0.199151,0.235911,0.0401303,0.581751,-0.027906,0.099565,0
8.7,0.194527,0.233741,0.0399299,0.581743,-0.0259946,0.0995432,0
8.71,0.180635,0.231908,0.0397493,0.581663,-0.0239681,0.0995148,0
8.72,0.167278,0.230518,0.0396012,0.581473,-0.0229223,0.0994741,0
8.73,0.168535,0.229795,0.0394978,0.581201,-0.0242828,0.0994241,0
8.74,0.190578,0.229993,0.0394426,0.580907,-0.0285269,0.0993714,0
8.75,0.227994,0.230794,0.0394236,0.580617,-0.0347291,0.0993177,0
8.76,0.26977,0.231509,0.039419,0.580323,-0.0415143,0.0992609,0
8.77,0.30889,0.231728,0.0393983,0.580012,-0.0479547,0.0991991,0
8.78,0.323843,0.231363,0.0393179,0.579699,-0.0536818,0.0991331,0
8.79,0.329226,0.230521,0.0391559,0.579398,-0.0575576,0.099066,0
8.8,0.338828,0.229629,0.0389725,0.579104,-0.0585925,0.0990028,0
8.81,0.34613,0.228696,0.038766,0.578808,-0.056825,0.0989477,0
8.82,0.329078,0.227745,0.0385218,0.578507,-0.0518402,0.098902,0
8.83,0.285404,0.226605,0.0382282,0.578194,-0.0441743,0.098864,0
8.84,0.256998,0.225021,0.0378828,0.577973,-0.0400735,0.0988483,0
8.85,0.247325,0.223171,0.0374999,0.577811,-0.039881,0.0988473,0
8.86,0.236284,0.221535,0.0371086,0.577619,-0.0394894,0.0988455,0
8.87,0.220392,0.220296,0.0367493,0.577399,-0.0388779,0.0988424,0
8.88,0.202699,0.219659,0.0364881,0.577162,-0.0379827,0.0988375,0
8.89,0.184454,0.219733,0.036371,0.576923,-0.0369858,0.0988304,0
8.9,0.174539,0.220262,0.0363396,0.5767,-0.0359728,0.0988211,0
8.91,0.170612,0.221381,0.0364184,0.576484,-0.0351443,0.0988087,0
8.92,0.176149,0.223235,0.036636,0.576243,-0.0346899,0.0987875,0
8.93,0.181804,0.225579,0.0370081,0.575982,-0.0346007,0.0987603,0
8.94,0.184475,0.22806,0.0375276,0.575729,-0.0348585,0.0987338,0
8.95,0.1917,0.230694,0.0381432,0.575495,-0.0355185,0.0987109,0
8.96,0.196926,0.233731,0.0387818,0.575268,-0.0365088,0.0986907,0
8.97,0.206064,0.236985,0.0393668,0.575029,-0.0378712,0.0986713,0
8.98,0.2297,0.239788,0.0398173,0.574818,-0.039256,0.0986516,0
8.99,0.253387,0.241579,0.0401033,0.57471,-0.0401782,0.0986312,0
9,0.24959,0.242562,0.0402911,0.574666,-0.0401998,0.0986105,0
9.01,0.228902,0.242565,0.0403615,0.574669,-0.0392159,0.0985904,0
9.02,0.198584,0.241399,0.040287,0.574714,-0.0366132,0.0985715,0
9.03,0.168326,0.239131,0.0400545,0.574774,-0.0316974,0.0985517,0
9.04,0.158753,0.236324,0.0396713,0.57493,-0.029173,0.0985447,0
9.05,0.164023,0.233072,0.039192,0.57512,-0.0292175,0.0985427,0
9.06,0.17077,0.229376,0.0387016,0.575293,-0.0290622,0.0985393,0
9.07,0.180038,0.225718,0.0382893,0.575443,-0.0285286,0.0985333,0
9.08,0.186428,0.22301,0.0380416,0.575555,-0.0275294,0.0985239,0
9.09,0.192789,0.221452,0.0379622,0.575618,-0.0260648,0.0985102,0
9.1,0.189028,0.220239,0.0379128,0.575628,-0.0244008,0.0984918,0
9.11,0.175283,0.21922,0.0378756,0.575572,-0.0227047,0.0984677,0
9.12,0.163854,0.218529,0.0378616,0.575412,-0.0219122,0.0984323,0
9.13,0.165144,0.218406,0.0378805,0.575175,-0.0232817,0.0983883,0
9.14,0.186994,0.219067,0.0379353,0.574921,-0.027174,0.0983426,0
9.15,0.220822,0.220199,0.0380177,0.57468,-0.0329338,0.0982974,0
9.16,0.258489,0.221174,0.0381103,0.574446,-0.0392302,0.0982509,0
9.17,0.291352,0.221682,0.0381885,0.574206,-0.045302,0.0982012,0
9.18,0.306172,0.221659,0.0382183,0.573972,-0.050716,0.0981489,0
9.19,0.312292,0.221229,0.038177,0.573757,-0.0545476,0.0980963,0
9.2,0.32027,0.220745,0.0381155,0.57355,-0.0558292,0.0980475,0
9.21,0.328392,0.220244,0.0380387,0.573333,-0.0547125,0.0980057,0
9.22,0.320129,0.219767,0.0379351,0.573103,-0.0508222,0.0979717,0
9.23,0.288029,0.21918,0.0377921,0.57285,-0.0447921,0.0979435,0
9.24,0.262505,0.218161,0.0376064,0.572656,-0.0416849,0.0979319,0
9.25,0.251768,0.216876,0.0373873,0.572497,-0.0415336,0.0979309,0
9.26,0.241247,0.215809,0.0371541,0.572306,-0.0412135,0.0979291,0
9.27,0.224225,0.215121,0.0369368,0.572089,-0.040686,0.097926,0
9.28,0.205668,0.214841,0.0367911,0.571855,-0.0399532,0.0979212,0
9.29,0.191867,0.215174,0.0367637,0.571622,-0.0391663,0.0979142,0
9.3,0.180505,0.215933,0.0368187,0.571402,-0.0384094,0.0979049,0
9.31,0.179644,0.217234,0.0369782,0.571192,-0.0378805,0.0978925,0
9.32,0.185497,0.219203,0.0372625,0.570955,-0.0376317,0.0978716,0
9.33,0.19156,0.221595,0.0376787,0.5707,-0.037541,0.0978449,0
9.34,0.193174,0.223993,0.0382166,0.570451,-0.0375344,0.0978189,0
9.35,0.191638,0.226416,0.0388299,0.570223,-0.0376985,0.0977969,0
9.36,0.190641,0.229238,0.039453,0.570006,-0.038227,0.0977781,0
9.37,0.198247,0.232355,0.0400238,0.569782,-0.0390133,0.0977607,0
9.38,0.218045,0.235055,0.0404762,0.56959,-0.0399052,0.0977438,0
9.39,0.23797,0.236905,0.0407912,0.569501,-0.0405118,0.0977274,0
9.4,0.23302,0.238055,0.0410257,0.56948,-0.040499,0.0977117,0
9.41,0.213703,0.238359,0.0411572,0.569513,-0.0397173,0.0976973,0
9.42,0.18794,0.237624,0.0411627,0.56959,-0.0377424,0.0976844,0
9.43,0.162766,0.23593,0.0410305,0.569683,-0.0340084,0.0976703,0
9.44,0.153987,0.233659,0.0407672,0.569843,-0.0315866,0.0976644,0
9.45,0.160383,0.230955,0.0404174,0.57003,-0.0316094,0.0976627,0
9.46,0.16786,0.227837,0.0400499,0.570206,-0.0315195,0.0976597,0
9.47,0.177976,0.22473,0.0397386,0.570358,-0.0310415,0.0976546,0
9.48,0.188305,0.222274,0.0395519,0.570476,-0.0301744,0.0976464,0
9.49,0.192128,0.22078,0.0394931,0.570546,-0.0289202,0.0976342,0
9.5,0.19136,0.219651,0.0394566,0.570568,-0.0274795,0.0976178,0
9.51,0.182962,0.218759,0.0394281,0.570523,-0.0260312,0.0975961,0
9.52,0.171744,0.218193,0.0394183,0.57038,-0.0253584,0.0975638,0
9.53,0.172714,0.218227,0.0394357,0.570165,-0.0266303,0.0975234,0
9.54,0.192929,0.219016,0.0394814,0.569936,-0.0301877,0.0974818,0
9.55,0.221824,0.220253,0.0395468,0.569723,-0.0353598,0.0974414,0
9.56,0.255707,0.221278,0.0396165,0.569523,-0.0409746,0.0974007,0
9.57,0.2885,0.221789,0.0396683,0.569324,-0.0463034,0.097358,0
9.58,0.29822,0.221798,0.0396729,0.569134,-0.0509368,0.0973135,0
9.59,0.299001,0.221406,0.0396125,0.568965,-0.0541902,0.0972694,0
9.6,0.306908,0.221068,0.0395401,0.568802,-0.0551226,0.0972288,0
9.61,0.319114,0.220881,0.0394615,0.568624,-0.053909,0.0971944,0
9.62,0.311077,0.2208,0.0393666,0.568427,-0.0504094,0.0971663,0
9.63,0.282755,0.220705,0.039244,0.56819,-0.0451839,0.097141,0
9.64,0.265043,0.220321,0.0390879,0.568016,-0.042976,0.0971327,0
9.65,0.256507,0.219743,0.0389032,0.567858,-0.0428221,0.0971318,0
9.66,0.247016,0.219319,0.0387031,0.567669,-0.0425164,0.09713,0
9.67,0.23011,0.219154,0.0385101,0.567451,-0.0420472,0.097127,0
9.68,0.214191,0.219275,0.0383699,0.567217,-0.0414522,0.0971221,0
9.69,0.196884,0.219857,0.0383312,0.566982,-0.0407842,0.0971149,0
9.7,0.185312,0.220902,0.0383745,0.566761,-0.0402461,0.0971054,0
9.71,0.186683,0.222539,0.0385165,0.566545,-0.0399151,0.0970925,0
9.72,0.194357,0.224761,0.0387743,0.566306,-0.0398346,0.0970716,0
9.73,0.200882,0.227285,0.0391545,0.566052,-0.0398248,0.0970453,0
9.74,0.203541,0.229717,0.0396471,0.565806,-0.0398136,0.0970199,0
9.75,0.204426,0.232203,0.0402099,0.565581,-0.0399373,0.0969985,0
9.76,0.20487,0.235009,0.0407834,0.565366,-0.0402309,0.0969802,0
9.77,0.208354,0.238021,0.0413086,0.565147,-0.0408815,0.0969637,0
9.78,0.230012,0.240663,0.0417227,0.564956,-0.0415929,0.0969479,0
9.79,0.249215,0.242465,0.0420069,0.564868,-0.0420135,0.0969327,0
9.8,0.243534,0.243638,0.0422143,0.564851,-0.041905,0.0969184,0
9.81,0.222082,0.244068,0.0423259,0.564889,-0.0411183,0.0969056,0
9.82,0.198169,0.243556,0.0423244,0.564969,-0.0392328,0.096894,0
9.83,0.17667,0.242175,0.0422037,0.565065,-0.0357598,0.0968809,0
9.84,0.167222,0.24037,0.041973,0.565226,-0.0335118,0.0968754,0
9.85,0.176556,0.238267,0.0416719,0.565418,-0.0335659,0.0968737,0
9.86,0.183535,0.235774,0.0413607,0.565594,-0.0335018,0.0968708,0
9.87,0.194962,0.233173,0.0410999,0.565749,-0.0330776,0.0968658,0
9.88,0.206434,0.231128,0.0409423,0.56587,-0.0322526,0.0968579,0
9.89,0.211082,0.229815,0.0408831,0.565946,-0.0310413,0.0968462,0
9.9,0.2088,0.228737,0.0408329,0.565971,-0.0296687,0.0968305,0
9.91,0.197652,0.227833,0.0407857,0.565935,-0.0282256,0.0968097,0
9.92,0.186866,0.227189,0.0407512,0.5658,-0.0274966,0.0967784,0
9.93,0.185454,0.227093,0.0407374,0.565595,-0.0285995,0.0967395,0
9.94,0.203427,0.22775,0.0407443,0.565376,-0.0319517,0.0966997,0
9.95,0.235218,0.228868,0.0407647,0.565176,-0.0368621,0.0966614,0
9.96,0.269441,0.229769,0.0407841,0.564992,-0.0421767,0.0966233,0
9.97,0.297365,0.230148,0.0407843,0.564813,-0.0471784,0.0965838,0
9.98,0.303262,0.229989,0.0407394,0.564644,-0.0515383,0.0965429,0
9.99,0.304141,0.229476,0.0406325,0.564499,-0.0546078,0.0965027,0
10,0.312276,0.228956,0.0405139,0.564358,-0.0555024,0.0964661,0
10.01,0.321894,0.228538,0.0403914,0.5642,-0.0543473,0.0964353,0
10.02,0.314311,0.228198,0.0402559,0.564019,-0.0509842,0.0964104,0
10.03,0.287365,0.227831,0.0400971,0.563803,-0.0459635,0.0963889,0
10.04,0.268067,0.227148,0.0399111,0.56363,-0.0439602,0.0963814,0
10.05,0.26143,0.226331,0.0397021,0.563471,-0.0438248,0.0963804,0
10.06,0.252972,0.22574,0.0394811,0.563281,-0.043562,0.0963787,0
10.07,0.237779,0.22541,0.0392697,0.563064,-0.0431386,0.0963757,0
10.08,0.220322,0.225374,0.0391101,0.562827,-0.0425971,0.0963709,0
10.09,0.205537,0.225755,0.039047,0.562594,-0.0420291,0.096364,0
10.1,0.198238,0.226454,0.0390574,0.562376,-0.0414729,0.0963548,0
10.11,0.196718,0.227561,0.0391528,0.562165,-0.0411309,0.0963424,0
10.12,0.202635,0.229149,0.0393489,0.561931,-0.0409549,0.096322,0
10.13,0.20737,0.230906,0.0396522,0.561684,-0.0407948,0.0962964,0
10.14,0.209204,0.232509,0.0400562,0.561446,-0.0405749,0.0962721,0
10.15,0.207631,0.234048,0.0405244,0.561227,-0.0403644,0.0962518,0
10.16,0.206824,0.235935,0.0410076,0.561017,-0.0404667,0.096235,0
10.17,0.209943,0.23816,0.041453,0.560798,-0.040875,0.0962199,0
10.18,0.229881,0.240105,0.0417939,0.560611,-0.0413525,0.0962059,0
10.19,0.249273,0.2412,0.0419959,0.560527,-0.0415793,0.0961926,0
10.2,0.243188,0.241604,0.0421148,0.560514,-0.041373,0.0961805,0
10.21,0.222822,0.241177,0.0421418,0.560554,-0.0405487,0.0961697,0
10.22,0.198586,0.23984,0.0420627,0.560635,-0.0388057,0.09616,0
10.23,0.178425,0.237791,0.0418729,0.560727,-0.035477,0.0961484,1
10.24,0.169417,0.235448,0.041582,0.560873,-0.0332235,0.0961432,1
10.25,0.175772,0.232809,0.0412279,0.561052,-0.033291,0.0961416,1
10.26,0.183271,0.229763,0.0408662,0.561216,-0.033219,0.0961387,1
10.27,0.192108,0.226594,0.0405518,0.561365,-0.032862,0.0961339,1
10.28,0.200806,0.223895,0.0403334,0.561485,-0.0321514,0.0961262,1
10.29,0.207224,0.221854,0.0402023,0.561563,-0.0310917,0.0961149,1
10.3,0.207427,0.219958,0.0400693,0.561592,-0.029863,0.0960996,1
10.31,0.196526,0.218136,0.0399296,0.561557,-0.0285921,0.0960795,1
10.32,0.188517,0.216497,0.0397932,0.561432,-0.0280477,0.0960497,1
10.33,0.18766,0.215284,0.0396723,0.561238,-0.0291306,0.0960129,1
10.34,0.20129,0.21475,0.0395752,0.561031,-0.032197,0.0959753,1
10.35,0.226435,0.214706,0.0395058,0.560843,-0.0365897,0.0959392,1
10.36,0.25543,0.214646,0.039461,0.56067,-0.0413112,0.0959037,1
10.37,0.280597,0.214321,0.0394242,0.560508,-0.0457745,0.0958673,1
10.38,0.286121,0.213591,0.0393561,0.560362,-0.0497768,0.0958304,1
10.39,0.282445,0.212441,0.0392142,0.560236,-0.052502,0.0957947,1
10.4,0.287969,0.211311,0.0390676,0.560109,-0.0533188,0.0957628,1
10.41,0.299636,0.210283,0.0389281,0.559957,-0.0523279,0.0957367,1
10.42,0.295346,0.209369,0.0387879,0.559772,-0.0490735,0.0957164,1
10.43,0.265881,0.208443,0.0386387,0.559541,-0.0437717,0.0956994,1
10.44,0.242079,0.207261,0.0384782,0.559325,-0.0408321,0.0956928,1
10.45,0.234069,0.205997,0.0383091,0.559112,-0.0407581,0.0956924,1
10.46,0.224329,0.205046,0.0381387,0.558865,-0.0406511,0.0956916,1
10.47,0.210265,0.204419,0.0379794,0.558592,-0.0404453,0.0956903,1
10.48,0.195756,0.204116,0.0378706,0.558305,-0.0401814,0.0956879,1
10.49,0.185108,0.204227,0.0378599,0.558027,-0.0399072,0.0956841,1
10.5,0.175681,0.204711,0.0379267,0.557774,-0.0396118,0.0956789,1
10.51,0.17382,0.205577,0.0380848,0.55754,-0.0392802,0.0956713,1
10.52,0.176114,0.206893,0.038353,0.557295,-0.038917,0.0956567,1
10.53,0.176789,0.208489,0.0387458,0.557045,-0.0384066,0.0956378,1
10.54,0.172217,0.210135,0.0392751,0.556807,-0.0376485,0.0956206,1
10.55,0.16585,0.212101,0.0399253,0.556585,-0.0369878,0.0956073,1
10.56,0.161355,0.214873,0.0406504,0.556357,-0.0365807,0.0955969,1
10.57,0.159093,0.218252,0.04135,0.556105,-0.0366746,0.0955874,1
10.58,0.173273,0.220542,0.0418212,0.555862,-0.0371966,0.0955773,1
10.59,0.197139,0.22071,0.0419356,0.555718,-0.0379594,0.0955657,1
10.6,0.1988,0.220032,0.0419381,0.555654,-0.0388091,0.0955516,1
10.61,0.187232,0.218713,0.04187,0.555629,-0.0393538,0.0955342,1
10.62,0.17325,0.216642,0.0417232,0.555624,-0.038783,0.0955117,1
10.63,0.148576,0.214016,0.0414972,0.5556,-0.0351409,0.0954799,1
10.64,0.137199,0.211255,0.0411994,0.555698,-0.0324889,0.0954643,1
10.65,0.144031,0.208436,0.0408601,0.555869,-0.0328038,0.0954592,1
10.66,0.149548,0.205245,0.0405155,0.556021,-0.0331383,0.0954503,1
10.67,0.162423,0.201779,0.0402035,0.556146,-0.0333465,0.0954357,1
10.68,0.176346,0.198697,0.039966,0.556226,-0.0333505,0.0954137,1
10.69,0.18589,0.196372,0.0398059,0.556231,-0.0329953,0.0953826,1
10.7,0.191427,0.19419,0.0396322,0.556143,-0.0325168,0.0953412,1
10.71,0.183335,0.192074,0.0394333,0.555936,-0.0316921,0.0952873,1
10.72,0.173407,0.190143,0.039228,0.555568,-0.0311813,0.0952143,1
10.73,0.172341,0.188565,0.039037,0.555072,-0.0321701,0.0951248,1
10.74,0.18721,0.18762,0.0388842,0.554505,-0.0350186,0.0950242,1
10.75,0.210826,0.18738,0.0388009,0.553897,-0.0391936,0.0949145,1
10.76,0.237571,0.187529,0.0388056,0.553249,-0.0439283,0.0947945,1
10.77,0.263257,0.187783,0.0388844,0.552555,-0.0486212,0.0946635,1
10.78,0.271407,0.187529,0.0389141,0.551815,-0.0532974,0.0945224,1
10.79,0.282595,0.186387,0.0387554,0.551027,-0.057764,0.0943739,1
10.8,0.30405,0.185309,0.0385893,0.550172,-0.0607435,0.0942217,1
10.81,0.330919,0.184491,0.0384516,0.549228,-0.0618598,0.0940691,1
10.82,0.32073,0.183961,0.0383396,0.5482,-0.0575648,0.0939186,1
10.83,0.244404,0.183669,0.038247,0.547089,-0.0444675,0.093769,1
10.84,0.177562,0.183341,0.0381657,0.546346,-0.0340916,0.0936947,1
10.85,0.170787,0.183007,0.0380856,0.54595,-0.0345811,0.0936887,1
10.86,0.166458,0.182897,0.037996,0.545488,-0.0352322,0.0936787,1
10.87,0.158889,0.18287,0.0378938,0.544964,-0.0360713,0.0936632,1
10.88,0.151358,0.18298,0.0378242,0.544395,-0.0369028,0.09364,1
10.89,0.14648,0.183552,0.0378592,0.5438,-0.0375662,0.093607,1
10.9,0.142825,0.18444,0.0379623,0.543181,-0.0376857,0.0935623,1
10.91,0.140752,0.185776,0.0381472,0.542523,-0.0371994,0.0935021,1
10.92,0.13874,0.187592,0.0384391,0.541776,-0.0360065,0.0934183,1
10.93,0.134928,0.189726,0.0388789,0.540914,-0.0341634,0.0933093,1
10.94,0.126201,0.19228,0.0395271,0.539908,-0.0321253,0.0931756,1
10.95,0.113757,0.195867,0.0404146,0.538728,-0.0301643,0.0930149,1
10.96,0.104006,0.201248,0.041491,0.537332,-0.0289479,0.092822,1
10.97,0.10265,0.207274,0.0425431,0.535675,-0.0291606,0.0925916,1
10.98,0.120248,0.210355,0.0430759,0.533789,-0.0304947,0.0923198,1
10.99,0.154585,0.209387,0.0429357,0.531786,-0.0336726,0.0920038,1
11,0.176763,0.207577,0.0426594,0.529658,-0.0377255,0.0916414,1
11.01,0.187629,0.20523,0.0423092,0.527364,-0.0419156,0.0912313,1
11.02,0.181068,0.202279,0.0418737,0.524847,-0.0428943,0.0907705,1
11.03,0.126673,0.198801,0.041345,0.522041,-0.0343768,0.0902515,1
11.04,0.0877719,0.195073,0.0407105,0.520901,-0.0270004,0.0900181,1
11.05,0.100171,0.19082,0.0399735,0.520886,-0.0280259,0.0899791,1
11.06,0.116905,0.185619,0.039157,0.52073,-0.0294273,0.0899134,1
11.07,0.13581,0.179729,0.0383393,0.520388,-0.0309554,0.0898121,1
11.08,0.158659,0.175053,0.0377191,0.519801,-0.0325551,0.0896667,1
11.09,0.177112,0.172793,0.0374303,0.518894,-0.0337407,0.0894694,1
11.1,0.188525,0.171076,0.0371856,0.517611,-0.0344846,0.0892144,1
11.11,0.185567,0.169428,0.0369265,0.515892,-0.0342869,0.0888949,1
11.12,0.173276,0.167876,0.0366643,0.513654,-0.0336963,0.0884973,1
11.13,0.167324,0.16656,0.0364215,0.510895,-0.0341659,0.0880163,1
11.14,0.179217,0.16581,0.0362427,0.507656,-0.036579,0.0874526,1
11.15,0.203405,0.165934,0.0361918,0.503957,-0.0402038,0.0868074,1
11.16,0.229956,0.166907,0.0363198,0.499821,-0.0447653,0.0860828,1
11.17,0.251375,0.168455,0.0366172,0.495277,-0.0501176,0.0852849,1
11.18,0.274189,0.169512,0.0368959,0.490373,-0.0568974,0.0844237,1
11.19,0.303551,0.169158,0.0368891,0.485149,-0.0646735,0.0835118,1
11.2,0.353424,0.168765,0.036859,0.47964,-0.0716174,0.0825638,1
11.21,0.398893,0.168707,0.0368814,0.473897,-0.0754376,0.0815941,1
11.22,0.367327,0.16898,0.0369456,0.467971,-0.0678173,0.0806133,1
11.23,0.194347,0.169556,0.0370396,0.461891,-0.0380623,0.0796221,1
11.24,0.0428637,0.170284,0.0371407,0.458501,-0.0128081,0.0791121,1
11.25,0.0401255,0.170945,0.0372112,0.45772,-0.0140545,0.079065,1
11.26,0.0422097,0.171559,0.0372191,0.456728,-0.0158867,0.0789883,1
11.27,0.0455948,0.171942,0.0371605,0.455486,-0.0182625,0.0788725,1
11.28,0.0501379,0.172595,0.0371613,0.453978,-0.0206485,0.0787084,1
11.29,0.0518398,0.174241,0.0373896,0.45219,-0.0226022,0.0784874,1
11.3,0.0526305,0.176129,0.0376778,0.4501,-0.0235135,0.0782021,1
11.31,0.0513633,0.178146,0.0379993,0.447657,-0.0230205,0.0778434,1
11.32,0.0510055,0.180239,0.0383632,0.444766,-0.0212416,0.0773956,1
11.33,0.0418573,0.182242,0.0387902,0.441339,-0.0187304,0.0768477,1
11.34,0.0329833,0.184129,0.0393243,0.437314,-0.0167825,0.0761937,1
11.35,0.0225217,0.18652,0.039992,0.432652,-0.0158558,0.07543,1
11.36,0.0205964,0.190136,0.0407663,0.42734,-0.0164127,0.0745572,1
11.37,0.0317433,0.19433,0.0414938,0.421398,-0.0190038,0.0735804,1
11.38,0.0710701,0.1962,0.0417877,0.414941,-0.0239063,0.0725098,1
11.39,0.127976,0.195035,0.0415706,0.408179,-0.031377,0.0713588,1
11.4,0.174625,0.193259,0.0412578,0.401211,-0.0396546,0.0701429,1
11.41,0.20724,0.190932,0.040868,0.394093,-0.0472288,0.0688785,1
11.42,0.21069,0.187957,0.0403782,0.38684,-0.050326,0.0675768,1
11.43,0.150448,0.184354,0.0397477,0.379418,-0.0409121,0.066238,1
11.44,0.0848227,0.179947,0.0389057,0.37565,-0.0288845,0.0655456,1
11.45,0.0965077,0.174027,0.0377924,0.375372,-0.0301076,0.0654721,1
11.46,0.112939,0.165685,0.0364148,0.37483,-0.0318714,0.0653492,1
11.47,0.132811,0.156065,0.0349767,0.373956,-0.0339571,0.0651631,1
11.48,0.163476,0.149943,0.0340874,0.372667,-0.0362623,0.0649014,1
11.49,0.189376,0.14919,0.0339797,0.370883,-0.0382597,0.0645541,1
11.5,0.206853,0.149081,0.0339584,0.368536,-0.0397413,0.0641141,1
11.51,0.207182,0.148993,0.0339221,0.365565,-0.0402771,0.0635745,1
11.52,0.197625,0.148879,0.0338728,0.361896,-0.0401157,0.0629224,1
11.53,0.193203,0.148733,0.0338167,0.357526,-0.0405112,0.0621518,1
11.54,0.19791,0.148684,0.0337746,0.352494,-0.0418538,0.0612653,1
11.55,0.211645,0.148982,0.0337793,0.346869,-0.0440221,0.0602716,1
11.56,0.225393,0.149636,0.0338696,0.340731,-0.0466225,0.059185,1
11.57,0.23652,0.150505,0.0340623,0.334187,-0.0496657,0.0580246,1
11.58,0.243831,0.151246,0.0342802,0.32734,-0.0540772,0.0568128,1
11.59,0.262274,0.151436,0.0343804,0.320303,-0.0593517,0.0555731,1
11.6,0.302317,0.151602,0.0344678,0.313164,-0.0643065,0.0543272,1
11.61,0.340468,0.151876,0.0345698,0.306014,-0.0665443,0.0530941,1
11.62,0.311115,0.152257,0.0346752,0.298925,-0.0586524,0.051886,1
11.63,0.15181,0.152708,0.0347628,0.291908,-0.0305967,0.0507017,1
11.64,0.0409775,0.153014,0.0347919,0.288833,-0.0122288,0.0502231,1
11.65,0.0387051,0.152752,0.0347008,0.288142,-0.0131741,0.0501732,1
11.66,0.0388414,0.151862,0.0344446,0.287234,-0.014523,0.0500892,1
11.67,0.0356312,0.15034,0.0340297,0.286078,-0.0161683,0.049962,1
11.68,0.0351234,0.149236,0.0336635,0.284647,-0.0178074,0.0497829,1
11.69,0.0331309,0.149778,0.0336553,0.282922,-0.0186708,0.0495445,1
11.7,0.0273402,0.150642,0.0337266,0.280888,-0.0187004,0.0492414,1
11.71,0.0207422,0.151467,0.0337947,0.278505,-0.0174079,0.0488662,1
11.72,0.0158827,0.152137,0.0338589,0.275705,-0.0152417,0.0484078,1
11.73,0.00617325,0.152366,0.0339254,0.272434,-0.0128087,0.0478594,1
