t,roll_err_deg,roll_err_rms_deg,bay_err_rms,roll_sigma_deg,bay_err,bay_sigma,turning
0.7,-0.431297,0.534419,0.0904739,1.06106,0.0790214,0.18171,0
0.71,-0.425117,0.549264,0.0925866,1.06014,0.0784295,0.18153,0
0.72,-0.426385,0.567133,0.0951203,1.0589,0.0791515,0.181301,0
0.73,-0.441993,0.586924,0.097914,1.05745,0.0817229,0.181041,0
0.74,-0.469914,0.606661,0.10076,1.05599,0.0865767,0.180779,0
0.75,-0.50687,0.62497,0.103447,1.05457,0.0935053,0.180521,0
0.76,-0.548276,0.641436,0.105821,1.05311,0.102573,0.18025,0
0.77,-0.592686,0.655717,0.10785,1.05145,0.112487,0.179942,0
0.78,-0.642944,0.667978,0.109636,1.04954,0.121494,0.179583,0
0.79,-0.677482,0.678922,0.111317,1.0475,0.125975,0.179184,0
0.8,-0.66459,0.688513,0.112857,1.04549,0.124699,0.178788,0
0.81,-0.611089,0.696733,0.114243,1.0437,0.11765,0.178447,0
0.82,-0.568205,0.703427,0.115464,1.04217,0.10933,0.178175,0
0.83,-0.583299,0.708559,0.116528,1.0403,0.108617,0.177873,0
0.84,-0.609649,0.712435,0.11746,1.03841,0.10941,0.177602,0
0.85,-0.623386,0.715466,0.118299,1.03773,0.108704,0.177554,0
0.86,-0.62694,0.71805,0.11908,1.03703,0.106874,0.177503,0
0.87,-0.621502,0.720318,0.119798,1.03625,0.103869,0.17744,0
0.88,-0.615023,0.721954,0.120371,1.03538,0.100401,0.17736,0
0.89,-0.608611,0.722451,0.120712,1.03443,0.0975061,0.17726,0
0.9,-0.607112,0.722637,0.120963,1.03342,0.095784,0.177142,0
0.91,-0.614472,0.722409,0.121119,1.03225,0.0965342,0.176992,0
0.92,-0.648779,0.721829,0.121194,1.03087,0.101983,0.176805,0
0.93,-0.712632,0.721068,0.121214,1.02933,0.112929,0.176598,0
0.94,-0.805136,0.720459,0.1212,1.02761,0.12828,0.176375,0
0.95,-0.91513,0.720005,0.121162,1.02552,0.145227,0.176104,0
0.96,-1.01837,0.719395,0.121098,1.0229,0.16035,0.175758,0
0.97,-1.09802,0.718583,0.121002,1.01982,0.171196,0.175349,0
0.98,-1.13642,0.717744,0.120881,1.01667,0.176686,0.174923,0
0.99,-1.12447,0.716915,0.120726,1.01408,0.176412,0.174537,0
1,-1.09021,0.715739,0.120466,1.01233,0.170219,0.174239,0
1.01,-1.03848,0.714108,0.120069,1.01144,0.160252,0.174039,0
1.02,-0.977062,0.711849,0.119483,1.01108,0.150892,0.173884,0
1.03,-0.932397,0.708775,0.118678,1.01025,0.146989,0.173627,0
1.04,-0.902515,0.704804,0.117689,1.00946,0.145035,0.173375,0
1.05,-0.871875,0.700508,0.116622,1.00957,0.14266,0.173284,0
1.06,-0.843365,0.696836,0.115621,1.00966,0.140009,0.173195,0
1.07,-0.808293,0.694277,0.114806,1.00968,0.137055,0.173093,0
1.08,-0.773835,0.692507,0.114163,1.00955,0.133821,0.172966,0
1.09,-0.739341,0.691021,0.113612,1.00922,0.130467,0.172812,0
1.1,-0.713572,0.690544,0.113262,1.00862,0.126946,0.172628,0
1.11,-0.68922,0.691348,0.113142,1.00769,0.123441,0.172407,0
1.12,-0.667933,0.693518,0.113256,1.00652,0.11949,0.172161,0
1.13,-0.637167,0.69679,0.113564,1.00538,0.114107,0.171929,0
1.14,-0.595347,0.700328,0.113984,1.00447,0.107709,0.171732,0
1.15,-0.548201,0.703582,0.114407,1.00369,0.100548,0.171553,0
1.16,-0.496923,0.706299,0.114727,1.00285,0.0934234,0.171358,0
1.17,-0.448379,0.708029,0.114868,1.00182,0.0873323,0.171131,0
1.18,-0.419672,0.708286,0.114797,1.00066,0.0824061,0.170885,0
1.19,-0.411065,0.706788,0.114491,0.999523,0.0784383,0.170644,0
